Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,14:29:32.447,target,pistol,0s,1,1,1,100,400,0.25,false
2,14:29:33.186,target,pistol,0s,1,1,1,100,400,0.25,false
3,14:29:33.866,target,pistol,0s,1,1,1,100,400,0.25,false
4,14:29:34.503,target,pistol,0s,1,1,1,100,400,0.25,false
5,14:29:35.250,target,pistol,0s,1,1,1,100,400,0.25,false
6,14:29:35.880,target,pistol,0s,1,1,1,100,400,0.25,false
7,14:29:36.661,target,pistol,0s,1,1,1,100,400,0.25,false
8,14:29:37.340,target,pistol,0s,1,1,1,100,400,0.25,false
9,14:29:37.960,target,pistol,0s,1,1,1,100,400,0.25,false
10,14:29:38.690,target,pistol,0s,1,1,1,100,400,0.25,false
11,14:29:39.243,target,pistol,0s,1,1,1,100,400,0.25,false
12,14:29:39.831,target,pistol,0s,1,1,1,100,400,0.25,false
13,14:29:40.404,target,pistol,0s,1,1,1,100,400,0.25,false
14,14:29:41.642,target,pistol,0.355s,2,1,0.5,100,800,0.125,false
15,14:29:42.379,target,pistol,0s,1,1,1,100,400,0.25,false
16,14:29:43.366,target,pistol,0.29s,2,1,0.5,100,800,0.125,false
17,14:29:43.969,target,pistol,0s,1,1,1,100,400,0.25,false
18,14:29:44.537,target,pistol,0s,1,1,1,100,400,0.25,false
19,14:29:45.253,target,pistol,0s,1,1,1,100,400,0.25,false
20,14:29:45.827,target,pistol,0.001s,1,1,1,100,400,0.25,false
21,14:29:46.673,target,pistol,0s,1,1,1,100,400,0.25,false
22,14:29:47.276,target,pistol,0s,1,1,1,100,400,0.25,false
23,14:29:48.203,target,pistol,0s,1,1,1,100,400,0.25,false
24,14:29:49.240,target,pistol,0s,1,1,1,100,400,0.25,false
25,14:29:50.000,target,pistol,0s,1,1,1,100,400,0.25,false
26,14:29:50.845,target,pistol,0s,1,1,1,100,400,0.25,false
27,14:29:51.552,target,pistol,0s,1,1,1,100,400,0.25,false
28,14:29:52.293,target,pistol,0s,1,1,1,100,400,0.25,false
29,14:29:53.149,target,pistol,0s,1,1,1,100,400,0.25,false
30,14:29:53.683,target,pistol,0.001s,1,1,1,100,400,0.25,false
31,14:29:54.520,target,pistol,0.247s,2,1,0.5,100,800,0.125,false
32,14:29:55.130,target,pistol,0.001s,1,1,1,100,400,0.25,false
33,14:29:55.819,target,pistol,0s,1,1,1,100,400,0.25,false
34,14:29:56.779,target,pistol,0.286s,2,1,0.5,100,800,0.125,false
35,14:29:57.474,target,pistol,0.001s,1,1,1,100,400,0.25,false
36,14:29:58.064,target,pistol,0.001s,1,1,1,100,400,0.25,false
37,14:29:58.853,target,pistol,0s,1,1,1,100,400,0.25,false
38,14:29:59.757,target,pistol,0.001s,1,1,1,100,400,0.25,false
39,14:30:00.687,target,pistol,0s,1,1,1,100,400,0.25,false
40,14:30:01.717,target,pistol,0s,1,1,1,100,400,0.25,false
41,14:30:02.441,target,pistol,0.001s,1,1,1,100,400,0.25,false
42,14:30:03.231,target,pistol,0s,1,1,1,100,400,0.25,false
43,14:30:03.908,target,pistol,0s,1,1,1,100,400,0.25,false
44,14:30:04.579,target,pistol,0s,1,1,1,100,400,0.25,false
45,14:30:05.344,target,pistol,0s,1,1,1,100,400,0.25,false
46,14:30:06.002,target,pistol,0s,1,1,1,100,400,0.25,false
47,14:30:06.628,target,pistol,0s,1,1,1,100,400,0.25,false
48,14:30:07.311,target,pistol,0s,1,1,1,100,400,0.25,false
49,14:30:07.978,target,pistol,0s,1,1,1,100,400,0.25,false
50,14:30:08.701,target,pistol,0s,1,1,1,100,400,0.25,false
51,14:30:09.378,target,pistol,0s,1,1,1,100,400,0.25,false
52,14:30:10.198,target,pistol,0s,1,1,1,100,400,0.25,false
53,14:30:10.824,target,pistol,0s,1,1,1,100,400,0.25,false
54,14:30:11.502,target,pistol,0s,1,1,1,100,400,0.25,false
55,14:30:12.125,target,pistol,0s,1,1,1,100,400,0.25,false
56,14:30:12.922,target,pistol,0s,1,1,1,100,400,0.25,false
57,14:30:13.708,target,pistol,0s,1,1,1,100,400,0.25,false
58,14:30:14.448,target,pistol,0s,1,1,1,100,400,0.25,false
59,14:30:15.248,target,pistol,0s,1,1,1,100,400,0.25,false
60,14:30:16.232,target,pistol,0s,1,1,1,100,400,0.25,false
61,14:30:16.999,target,pistol,0s,1,1,1,100,400,0.25,false
62,14:30:17.712,target,pistol,0s,1,1,1,100,400,0.25,false
63,14:30:18.382,target,pistol,0s,1,1,1,100,400,0.25,false
64,14:30:19.228,target,pistol,0s,1,1,1,100,400,0.25,false
65,14:30:20.071,target,pistol,0s,1,1,1,100,400,0.25,false
66,14:30:20.706,target,pistol,0s,1,1,1,100,400,0.25,false
67,14:30:21.516,target,pistol,0.001s,1,1,1,100,400,0.25,false
68,14:30:22.556,target,pistol,0s,1,1,1,100,400,0.25,false
69,14:30:23.382,target,pistol,0s,1,1,1,100,400,0.25,false
70,14:30:24.092,target,pistol,0s,1,1,1,100,400,0.25,false
71,14:30:24.643,target,pistol,0s,1,1,1,100,400,0.25,false
72,14:30:25.453,target,pistol,0s,1,1,1,100,400,0.25,false
73,14:30:26.220,target,pistol,0.001s,1,1,1,100,400,0.25,false
74,14:30:26.833,target,pistol,0s,1,1,1,100,400,0.25,false
75,14:30:27.586,target,pistol,0s,1,1,1,100,400,0.25,false
76,14:30:28.263,target,pistol,0s,1,1,1,100,400,0.25,false
77,14:30:28.960,target,pistol,0s,1,1,1,100,400,0.25,false
78,14:30:29.587,target,pistol,0s,1,1,1,100,400,0.25,false
79,14:30:30.244,target,pistol,0s,1,1,1,100,400,0.25,false
80,14:30:30.807,target,pistol,0s,1,1,1,100,400,0.25,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,84,80,8000.0,33600.0,

Kills:,80
Deaths:,0
Fight Time:,1.187
Avg TTK:,0.75
Damage Done:,8000.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,76.190475
Scenario:,1wall 1target
Hash:,b49d715d44114c48760acebae4e1f381
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,1.2
Vert Sens:,1.2
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
