Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,08:43:39.695,target,BB Gun,0s,1,1,1,1,1,1,false
2,08:43:40.811,target,BB Gun,0s,1,1,1,1,1,1,false
3,08:43:41.953,target,BB Gun,0s,1,1,1,1,1,1,false
4,08:43:42.819,target,BB Gun,0s,1,1,1,1,1,1,false
5,08:43:43.564,target,BB Gun,0s,1,1,1,1,1,1,false
6,08:43:44.985,target,BB Gun,0.502s,2,1,0.5,1,2,0.5,false
7,08:43:45.986,target,BB Gun,0.3s,2,1,0.5,1,2,0.5,false
8,08:43:46.798,target,BB Gun,0.001s,1,1,1,1,1,1,false
9,08:43:47.835,target,BB Gun,0.001s,1,1,1,1,1,1,false
10,08:43:48.789,target,BB Gun,0s,1,1,1,1,1,1,false
11,08:43:49.475,target,BB Gun,0s,1,1,1,1,1,1,false
12,08:43:50.133,target,BB Gun,0s,1,1,1,1,1,1,false
13,08:43:51.021,target,BB Gun,0s,1,1,1,1,1,1,false
14,08:43:51.692,target,BB Gun,0.001s,1,1,1,1,1,1,false
15,08:43:52.465,target,BB Gun,0s,1,1,1,1,1,1,false
16,08:43:53.354,target,BB Gun,0s,1,1,1,1,1,1,false
17,08:43:54.282,target,BB Gun,0s,1,1,1,1,1,1,false
18,08:43:55.063,target,BB Gun,0s,1,1,1,1,1,1,false
19,08:43:55.760,target,BB Gun,0s,1,1,1,1,1,1,false
20,08:43:56.607,target,BB Gun,0s,1,1,1,1,1,1,false
21,08:43:57.267,target,BB Gun,0s,1,1,1,1,1,1,false
22,08:43:57.844,target,BB Gun,0s,1,1,1,1,1,1,false
23,08:43:58.618,target,BB Gun,0s,1,1,1,1,1,1,false
24,08:43:59.335,target,BB Gun,0s,1,1,1,1,1,1,false
25,08:44:00.072,target,BB Gun,0s,1,1,1,1,1,1,false
26,08:44:00.838,target,BB Gun,0s,1,1,1,1,1,1,false
27,08:44:01.763,target,BB Gun,0s,1,1,1,1,1,1,false
28,08:44:02.493,target,BB Gun,0s,1,1,1,1,1,1,false
29,08:44:03.023,target,BB Gun,0s,1,1,1,1,1,1,false
30,08:44:03.940,target,BB Gun,0s,1,1,1,1,1,1,false
31,08:44:05.067,target,BB Gun,0.307s,2,1,0.5,1,2,0.5,false
32,08:44:06.310,target,BB Gun,0s,1,1,1,1,1,1,false
33,08:44:06.751,target,BB Gun,0s,1,1,1,1,1,1,false
34,08:44:07.357,target,BB Gun,0s,1,1,1,1,1,1,false
35,08:44:08.227,target,BB Gun,0s,1,1,1,1,1,1,false
36,08:44:09.311,target,BB Gun,0s,1,1,1,1,1,1,false
37,08:44:10.336,target,BB Gun,0s,1,1,1,1,1,1,false
38,08:44:11.224,target,BB Gun,0s,1,1,1,1,1,1,false
39,08:44:12.026,target,BB Gun,0s,1,1,1,1,1,1,false
40,08:44:12.760,target,BB Gun,0s,1,1,1,1,1,1,false
41,08:44:13.473,target,BB Gun,0s,1,1,1,1,1,1,false
42,08:44:14.204,target,BB Gun,0s,1,1,1,1,1,1,false
43,08:44:14.898,target,BB Gun,0s,1,1,1,1,1,1,false
44,08:44:15.788,target,BB Gun,0.001s,1,1,1,1,1,1,false
45,08:44:16.305,target,BB Gun,0s,1,1,1,1,1,1,false
46,08:44:17.014,target,BB Gun,0.001s,1,1,1,1,1,1,false
47,08:44:17.896,target,BB Gun,0s,1,1,1,1,1,1,false
48,08:44:18.768,target,BB Gun,0.001s,1,1,1,1,1,1,false
49,08:44:19.445,target,BB Gun,0.001s,1,1,1,1,1,1,false
50,08:44:20.139,target,BB Gun,0.001s,1,1,1,1,1,1,false
51,08:44:20.914,target,BB Gun,0s,1,1,1,1,1,1,false
52,08:44:22.762,target,BB Gun,0.997s,2,1,0.5,1,2,0.5,false
53,08:44:24.258,target,BB Gun,0.655s,2,1,0.5,1,2,0.5,false
54,08:44:25.082,target,BB Gun,0.001s,1,1,1,1,1,1,false
55,08:44:26.094,target,BB Gun,0s,1,1,1,1,1,1,false
56,08:44:26.794,target,BB Gun,0.001s,1,1,1,1,1,1,false
57,08:44:27.458,target,BB Gun,0.001s,1,1,1,1,1,1,false
58,08:44:28.602,target,BB Gun,0.001s,1,1,1,1,1,1,false
59,08:44:29.204,target,BB Gun,0s,1,1,1,1,1,1,false
