Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,10:00:08.044,target,BB Gun,0s,1,1,1,1,1,1,false
2,10:00:08.461,target,BB Gun,0s,1,1,1,1,1,1,false
3,10:00:09.303,target,BB Gun,0.519s,2,1,0.5,1,2,0.5,false
4,10:00:09.760,target,BB Gun,0s,1,1,1,1,1,1,false
5,10:00:10.147,target,BB Gun,0s,1,1,1,1,1,1,false
6,10:00:11.026,target,BB Gun,0.379s,2,1,0.5,1,2,0.5,false
7,10:00:11.633,target,BB Gun,0s,1,1,1,1,1,1,false
8,10:00:12.173,target,BB Gun,0s,1,1,1,1,1,1,false
9,10:00:12.640,target,BB Gun,0s,1,1,1,1,1,1,false
10,10:00:13.477,target,BB Gun,0.55s,2,1,0.5,1,2,0.5,false
11,10:00:13.962,target,BB Gun,0s,1,1,1,1,1,1,false
12,10:00:14.532,target,BB Gun,0s,1,1,1,1,1,1,false
13,10:00:15.152,target,BB Gun,0s,1,1,1,1,1,1,false
14,10:00:15.798,target,BB Gun,0.257s,2,1,0.5,1,2,0.5,false
15,10:00:16.370,target,BB Gun,0s,1,1,1,1,1,1,false
16,10:00:17.034,target,BB Gun,0s,1,1,1,1,1,1,false
17,10:00:17.527,target,BB Gun,0s,1,1,1,1,1,1,false
18,10:00:17.900,target,BB Gun,0s,1,1,1,1,1,1,false
19,10:00:18.300,target,BB Gun,0s,1,1,1,1,1,1,false
20,10:00:18.800,target,BB Gun,0s,1,1,1,1,1,1,false
21,10:00:19.207,target,BB Gun,0s,1,1,1,1,1,1,false
22,10:00:19.688,target,BB Gun,0s,1,1,1,1,1,1,false
23,10:00:20.241,target,BB Gun,0s,1,1,1,1,1,1,false
24,10:00:20.641,target,BB Gun,0s,1,1,1,1,1,1,false
25,10:00:21.101,target,BB Gun,0s,1,1,1,1,1,1,false
26,10:00:21.637,target,BB Gun,0s,1,1,1,1,1,1,false
27,10:00:21.924,target,BB Gun,0s,1,1,1,1,1,1,false
28,10:00:22.308,target,BB Gun,0s,1,1,1,1,1,1,false
29,10:00:22.902,target,BB Gun,0s,1,1,1,1,1,1,false
30,10:00:23.426,target,BB Gun,0s,1,1,1,1,1,1,false
31,10:00:24.083,target,BB Gun,0s,1,1,1,1,1,1,false
32,10:00:24.310,target,BB Gun,0s,1,1,1,1,1,1,false
33,10:00:24.637,target,BB Gun,0s,1,1,1,1,1,1,false
34,10:00:24.984,target,BB Gun,0s,1,1,1,1,1,1,false
35,10:00:25.431,target,BB Gun,0s,1,1,1,1,1,1,false
