Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,14:52:57.638,Long Strafe Bot,ADSable Hitscan Cone,3.519s,1946,535,0.275,500,1770,0.282,false
2,14:53:01.853,Long Strafe Bot,ADSable Hitscan Cone,3.553s,1946,549,0.282,502,1770,0.284,false
3,14:53:05.745,Long Strafe Bot,ADSable Hitscan Cone,3.418s,1891,501,0.265,501,1720,0.291,false
4,14:53:10.437,Long Strafe Bot,ADSable Hitscan Cone,4.436s,1968,740,0.376,679,1790,0.379,false
5,14:53:13.478,Long Strafe Bot,ADSable Hitscan Cone,2.78s,1539,356,0.231,328,1400,0.234,false
6,14:53:18.119,Long Strafe Bot,ADSable Hitscan Cone,3.938s,2177,550,0.253,508,1980,0.257,false
7,14:53:21.261,Long Strafe Bot,ADSable Hitscan Cone,2.882s,1528,530,0.347,503,1390,0.362,false
8,14:53:25.556,Long Strafe Bot,ADSable Hitscan Cone,4.034s,2133,506,0.237,506,1940,0.261,false
9,14:53:29.251,Long Strafe Bot,ADSable Hitscan Cone,3.447s,1836,504,0.275,504,1670,0.302,false
10,14:53:33.358,Long Strafe Bot,ADSable Hitscan Cone,3.678s,2034,503,0.247,503,1850,0.272,false
11,14:53:38.134,Long Strafe Bot,ADSable Hitscan Cone,4.516s,2397,540,0.225,508,2180,0.233,false
12,14:53:42.583,Long Strafe Bot,ADSable Hitscan Cone,4.188s,2045,538,0.263,500,1860,0.269,false
13,14:53:49.649,Long Strafe Bot,ADSable Hitscan Cone,6.805s,3684,825,0.224,771,3350,0.23,false
14,14:53:51.650,Long Strafe Bot,ADSable Hitscan Cone,1.74s,967,262,0.271,237,880,0.269,false
15,14:53:55.525,Long Strafe Bot,ADSable Hitscan Cone,3.614s,1957,505,0.258,505,1780,0.284,false
16,14:54:00.998,Long Strafe Bot,ADSable Hitscan Cone,5.444s,2914,597,0.205,559,2650,0.211,false
17,14:54:03.489,Long Strafe Bot,ADSable Hitscan Cone,2.243s,1242,447,0.36,447,1130,0.396,false
18,14:54:08.939,Long Strafe Bot,ADSable Hitscan Cone,5.206s,2782,540,0.194,505,2530,0.2,false
19,14:54:14.240,Long Strafe Bot,ADSable Hitscan Cone,4.919s,2716,537,0.198,500,2470,0.202,false
20,14:54:18.297,Long Strafe Bot,ADSable Hitscan Cone,3.8s,1814,505,0.278,505,1650,0.306,false
21,14:54:22.805,Long Strafe Bot,ADSable Hitscan Cone,4.248s,2100,541,0.258,504,1910,0.264,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
ADSable Hitscan Cone,43616,11111,10575.0,39670.0,

Kills:,21
Deaths:,0
Fight Time:,82.407997
Avg TTK:,4.286
Damage Done:,10575.0
Damage Taken:,0.0
Midairs:,154
Midaired:,0
Directs:,536
Directed:,0
Distance Traveled:,0.0
Score:,2819.022461
Scenario:,Ascended Tracking v3
Hash:,46026d159b844451a38af3608d7c9e8a
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,1.2
Vert Sens:,1.2
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
