Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,18:58:26.658,Long Strafe Bot,ADSable Hitscan Cone,3.001s,1660,545,0.328,504,1510,0.334,false
2,18:58:30.236,Long Strafe Bot,ADSable Hitscan Cone,3.278s,1814,589,0.325,545,1650,0.33,false
3,18:58:33.114,Long Strafe Bot,ADSable Hitscan Cone,2.631s,1385,502,0.362,465,1260,0.369,false
4,18:58:38.293,Long Strafe Bot,ADSable Hitscan Cone,4.919s,2375,535,0.225,500,2160,0.231,false
5,18:58:42.916,Long Strafe Bot,ADSable Hitscan Cone,4.412s,2199,531,0.241,501,2000,0.25,false
6,18:58:49.104,Long Strafe Bot,ADSable Hitscan Cone,4.958s,2738,505,0.184,505,2490,0.203,false
7,18:58:53.312,Long Strafe Bot,ADSable Hitscan Cone,3.581s,1979,537,0.271,509,1800,0.283,false
8,18:58:57.020,Long Strafe Bot,ADSable Hitscan Cone,2.695s,1264,547,0.433,506,1150,0.44,false
9,18:59:01.412,Long Strafe Bot,ADSable Hitscan Cone,3.618s,2001,538,0.269,503,1820,0.276,false
10,18:59:05.507,Long Strafe Bot,ADSable Hitscan Cone,2.9s,1605,727,0.453,707,1460,0.484,false
11,18:59:07.425,Long Strafe Bot,ADSable Hitscan Cone,1.659s,835,332,0.398,310,760,0.408,false
12,18:59:11.323,Long Strafe Bot,ADSable Hitscan Cone,3.662s,1869,497,0.266,497,1700,0.292,false
13,18:59:15.404,Long Strafe Bot,ADSable Hitscan Cone,2.879s,1594,503,0.316,503,1450,0.347,false
14,18:59:19.030,Long Strafe Bot,ADSable Hitscan Cone,2.937s,1627,545,0.335,501,1480,0.339,false
15,18:59:23.497,Long Strafe Bot,ADSable Hitscan Cone,4.216s,2166,548,0.253,505,1970,0.256,false
16,18:59:27.621,Long Strafe Bot,ADSable Hitscan Cone,3.38s,1869,752,0.402,695,1700,0.409,false
17,18:59:29.298,Long Strafe Bot,ADSable Hitscan Cone,1.418s,725,330,0.455,312,660,0.473,false
18,18:59:32.566,Long Strafe Bot,ADSable Hitscan Cone,3.009s,1308,542,0.414,506,1190,0.425,false
19,18:59:35.999,Long Strafe Bot,ADSable Hitscan Cone,3.176s,1583,551,0.348,509,1440,0.353,false
20,18:59:40.661,Long Strafe Bot,ADSable Hitscan Cone,4.401s,1968,541,0.275,500,1790,0.279,false
21,18:59:43.468,Long Strafe Bot,ADSable Hitscan Cone,2.546s,846,554,0.655,506,770,0.657,false
22,18:59:49.162,Long Strafe Bot,ADSable Hitscan Cone,5.431s,2793,551,0.197,501,2540,0.197,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
ADSable Hitscan Cone,39952,12286,11540.0,36340.0,

Kills:,22
Deaths:,0
Fight Time:,74.707001
Avg TTK:,4.091
Damage Done:,11540.0
Damage Taken:,0.0
Midairs:,156
Midaired:,0
Directs:,746
Directed:,0
Distance Traveled:,0.0
Score:,3664.601074
Scenario:,Ascended Tracking v3
Hash:,46026d159b844451a38af3608d7c9e8a
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,1.2
Vert Sens:,1.2
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
