Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,18:59:38.754,Long Strafe Bot,ADSable Hitscan Cone,2.84s,1572,576,0.366,529,1430,0.37,false
2,18:59:41.010,Long Strafe Bot,ADSable Hitscan Cone,1.999s,1110,476,0.429,476,1010,0.471,false
3,18:59:44.959,Long Strafe Bot,ADSable Hitscan Cone,3.689s,1693,550,0.325,504,1540,0.327,false
4,18:59:49.052,Long Strafe Bot,ADSable Hitscan Cone,3.139s,1737,536,0.309,503,1580,0.318,false
5,18:59:52.312,Long Strafe Bot,ADSable Hitscan Cone,3.021s,1671,501,0.3,501,1520,0.33,false
6,18:59:55.822,Long Strafe Bot,ADSable Hitscan Cone,3.02s,1671,541,0.324,507,1520,0.334,false
7,18:59:58.661,Long Strafe Bot,ADSable Hitscan Cone,1.858s,1033,550,0.532,506,940,0.538,false
8,19:00:02.289,Long Strafe Bot,ADSable Hitscan Cone,2.657s,1473,534,0.363,507,1340,0.378,false
9,19:00:05.201,Long Strafe Bot,ADSable Hitscan Cone,2.651s,1374,547,0.398,503,1250,0.402,false
10,19:00:08.668,Long Strafe Bot,ADSable Hitscan Cone,3.099s,1715,553,0.322,508,1560,0.326,false
11,19:00:12.244,Long Strafe Bot,ADSable Hitscan Cone,2.521s,1396,555,0.398,504,1270,0.397,false
12,19:00:15.790,Long Strafe Bot,ADSable Hitscan Cone,3.099s,1715,500,0.292,500,1560,0.321,false
13,19:00:19.043,Long Strafe Bot,ADSable Hitscan Cone,2.994s,1110,505,0.455,505,1010,0.5,false
14,19:00:21.403,Long Strafe Bot,ADSable Hitscan Cone,2.12s,1176,553,0.47,507,1070,0.474,false
15,19:00:25.015,Long Strafe Bot,ADSable Hitscan Cone,2.618s,1451,522,0.36,500,1320,0.379,false
16,19:00:28.751,Long Strafe Bot,ADSable Hitscan Cone,3.119s,1726,553,0.32,502,1570,0.32,false
17,19:00:32.323,Long Strafe Bot,ADSable Hitscan Cone,2.559s,1418,502,0.354,502,1290,0.389,false
18,19:00:35.138,Long Strafe Bot,ADSable Hitscan Cone,2.058s,1143,542,0.474,504,1040,0.485,false
19,19:00:37.458,Long Strafe Bot,ADSable Hitscan Cone,1.698s,945,543,0.575,502,860,0.584,false
20,19:00:41.128,Long Strafe Bot,ADSable Hitscan Cone,3.477s,1825,526,0.288,526,1660,0.317,false
21,19:00:43.717,Long Strafe Bot,ADSable Hitscan Cone,2.341s,1288,606,0.47,606,1171,0.518,false
22,19:00:46.753,Long Strafe Bot,ADSable Hitscan Cone,2.78s,1539,378,0.246,378,1400,0.27,false
23,19:00:49.659,Long Strafe Bot,ADSable Hitscan Cone,2.696s,1352,550,0.407,508,1230,0.413,false
24,19:00:53.594,Long Strafe Bot,ADSable Hitscan Cone,2.879s,1594,621,0.39,610,1450,0.421,false
25,19:00:56.161,Long Strafe Bot,ADSable Hitscan Cone,2.359s,1308,423,0.323,397,1190,0.334,false
26,19:01:00.120,Long Strafe Bot,ADSable Hitscan Cone,2.938s,1627,545,0.335,504,1480,0.341,false
27,19:01:02.521,Long Strafe Bot,ADSable Hitscan Cone,1.939s,1077,551,0.512,506,980,0.516,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
ADSable Hitscan Cone,39322,14463,13719.0,35771.0,

Kills:,27
Deaths:,0
Fight Time:,72.167999
Avg TTK:,0
Damage Done:,13719.0
Damage Taken:,0.0
Midairs:,212
Midaired:,0
Directs:,744
Directed:,0
Distance Traveled:,0.0
Score:,5261.55127
Scenario:,Ascended Tracking v3
Hash:,46026d159b844451a38af3608d7c9e8a
Game Version:,2.0.3.1
Challenge Start:,18:59:34.603

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,0.9
Vert Sens:,0.9
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,2560x1080
Avg FPS,292.362518
Resolution Scale,100.0
