Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,09:51:45.195,Long Strafe Bot,ADSable Hitscan Cone,2.299s,1275,625,0.49,566,1160,0.488,false
2,09:51:47.813,Long Strafe Bot,ADSable Hitscan Cone,2.218s,1231,481,0.391,440,1120,0.393,false
3,09:51:50.688,Long Strafe Bot,ADSable Hitscan Cone,2.159s,1198,504,0.421,504,1090,0.462,false
4,09:51:52.664,Long Strafe Bot,ADSable Hitscan Cone,1.561s,868,556,0.641,509,790,0.644,false
5,09:51:56.867,Long Strafe Bot,ADSable Hitscan Cone,3.238s,1792,503,0.281,502,1630,0.308,false
6,09:51:58.931,Long Strafe Bot,ADSable Hitscan Cone,1.83s,934,545,0.584,509,850,0.599,false
7,09:52:01.168,Long Strafe Bot,ADSable Hitscan Cone,1.799s,1000,550,0.55,500,910,0.549,false
8,09:52:04.583,Long Strafe Bot,ADSable Hitscan Cone,2.318s,1286,553,0.43,502,1170,0.429,false
9,09:52:06.844,Long Strafe Bot,ADSable Hitscan Cone,1.799s,1000,548,0.548,502,910,0.552,false
10,09:52:10.113,Long Strafe Bot,ADSable Hitscan Cone,2.878s,1594,564,0.354,509,1450,0.351,false
11,09:52:13.985,Long Strafe Bot,ADSable Hitscan Cone,3.077s,1704,506,0.297,506,1550,0.326,false
12,09:52:18.305,Long Strafe Bot,ADSable Hitscan Cone,3.618s,2001,507,0.253,507,1820,0.279,false
13,09:52:22.089,Long Strafe Bot,ADSable Hitscan Cone,3.359s,1858,559,0.301,503,1690,0.298,false
14,09:52:26.591,Long Strafe Bot,ADSable Hitscan Cone,3.48s,1924,502,0.261,502,1750,0.287,false
15,09:52:29.657,Long Strafe Bot,ADSable Hitscan Cone,2.138s,1187,546,0.46,509,1080,0.471,false
16,09:52:34.521,Long Strafe Bot,ADSable Hitscan Cone,4.607s,2452,506,0.206,506,2230,0.227,false
17,09:52:37.662,Long Strafe Bot,ADSable Hitscan Cone,2.618s,1451,561,0.387,509,1320,0.386,false
18,09:52:40.369,Long Strafe Bot,ADSable Hitscan Cone,1.897s,1055,500,0.474,500,960,0.521,false
19,09:52:46.441,Long Strafe Bot,ADSable Hitscan Cone,5.42s,2991,503,0.168,503,2720,0.185,false
20,09:52:50.005,Long Strafe Bot,ADSable Hitscan Cone,3.139s,1737,558,0.321,508,1580,0.322,false
21,09:52:52.010,Long Strafe Bot,ADSable Hitscan Cone,1.417s,791,551,0.697,507,720,0.704,false
22,09:52:56.243,Long Strafe Bot,ADSable Hitscan Cone,2.879s,1594,571,0.358,524,1450,0.361,false
23,09:52:58.937,Long Strafe Bot,ADSable Hitscan Cone,2.478s,1374,525,0.382,485,1250,0.388,false
24,09:53:03.114,Long Strafe Bot,ADSable Hitscan Cone,3.119s,1726,505,0.293,505,1570,0.322,false
25,09:53:06.629,Long Strafe Bot,ADSable Hitscan Cone,3.26s,1418,501,0.353,501,1290,0.388,false
26,09:53:09.827,Long Strafe Bot,ADSable Hitscan Cone,2.74s,1517,542,0.357,500,1380,0.362,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
ADSable Hitscan Cone,39992,14080,13309.0,36380.0,

Kills:,26
Deaths:,0
Fight Time:,71.345001
Avg TTK:,0
Damage Done:,13309.0
Damage Taken:,0.0
Midairs:,237
Midaired:,0
Directs:,771
Directed:,0
Distance Traveled:,0.0
Score:,4868.869629
Scenario:,Ascended Tracking v3
Hash:,46026d159b844451a38af3608d7c9e8a
Game Version:,2.0.3.2
Challenge Start:,09:51:42.033

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,0.9
Vert Sens:,0.9
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,2560x1080
Avg FPS,287.212646
Resolution Scale,100.0
