Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,12:50:16.208,Quaker Bot Fast Strafes,LG,8.463s,185,50,0.27,300,1110,0.27,false
2,12:50:25.888,Quaker Bot Fast Strafes,LG,7.726s,169,50,0.296,300,1014,0.296,false
3,12:50:35.727,Quaker Bot Fast Strafes,LG,7.958s,174,50,0.287,300,1044,0.287,false
4,12:50:43.270,Quaker Bot Fast Strafes,LG,5.704s,125,50,0.4,300,750,0.4,false
5,12:50:52.216,Quaker Bot Fast Strafes,LG,7.082s,155,50,0.323,300,930,0.323,false
6,12:51:00.768,Quaker Bot Fast Strafes,LG,6.715s,147,50,0.34,300,882,0.34,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1058,337,2022.0,6348.0,

Kills:,6
Deaths:,0
Fight Time:,43.647999
Avg TTK:,0
Damage Done:,2022.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,1932.175781
Scenario:,Cata IC Fast Strafes
Hash:,ae0024fa5045348cf5200beda4716333
Game Version:,2.0.3.1
Challenge Start:,12:50:07.114

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,0.9
Vert Sens:,0.9
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,2560x1080
Avg FPS,299.228638
Resolution Scale,100.0
