Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,12:28:55.579,Quaker Bot Long Strafes,LG,9.611s,210,50,0.238,300,1260,0.238,false
2,12:29:07.448,Quaker Bot Long Strafes,LG,11.593s,211,50,0.237,300,1266,0.237,false
3,12:29:17.466,Quaker Bot Long Strafes,LG,9.741s,179,50,0.279,300,1074,0.279,false
4,12:29:28.121,Quaker Bot Long Strafes,LG,10.379s,195,50,0.256,300,1170,0.256,false
5,12:29:36.365,Quaker Bot Long Strafes,LG,7.968s,143,50,0.35,300,858,0.35,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1019,262,1572.0,6114.0,

Kills:,5
Deaths:,0
Fight Time:,49.292
Avg TTK:,12
Damage Done:,1572.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,481.326569
Score:,1212.553467
Scenario:,Cata IC Long Strafes
Hash:,9bcb93b2f0c30298e66553395dca1bca
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
