Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:29:47.929,Quaker Bot Long Strafes,LG,7.587s,166,50,0.301,300,996,0.301,false
2,19:29:56.961,Quaker Bot Long Strafes,LG,8.779s,156,50,0.321,300,936,0.321,false
3,19:30:05.999,Quaker Bot Long Strafes,LG,6.944s,152,50,0.329,300,912,0.329,false
4,19:30:14.920,Quaker Bot Long Strafes,LG,8.645s,150,50,0.333,300,900,0.333,false
5,19:30:23.115,Quaker Bot Long Strafes,LG,6.118s,134,50,0.373,300,804,0.373,false
6,19:30:32.243,Quaker Bot Long Strafes,LG,8.851s,159,50,0.314,300,954,0.314,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1040,345,2070.0,6240.0,

Kills:,6
Deaths:,0
Fight Time:,46.924
Avg TTK:,10
Damage Done:,2070.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,2060.048096
Scenario:,Cata IC Long Strafes
Hash:,9bcb93b2f0c30298e66553395dca1bca
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Overwatch
Horiz Sens:,4.0
Vert Sens:,4.0
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
