Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,09:53:36.387,Quaker Bot Long Strafes,LG,4.827s,106,50,0.472,300,636,0.472,false
2,09:53:42.445,Quaker Bot Long Strafes,LG,4.231s,93,50,0.538,300,558,0.538,false
3,09:53:49.292,Quaker Bot Long Strafes,LG,5.056s,111,50,0.45,300,666,0.45,false
4,09:53:57.910,Quaker Bot Long Strafes,LG,6.714s,147,50,0.34,300,882,0.34,false
5,09:54:07.144,Quaker Bot Long Strafes,LG,7.221s,158,50,0.316,300,948,0.316,false
6,09:54:14.701,Quaker Bot Long Strafes,LG,5.747s,126,50,0.397,300,756,0.397,false
7,09:54:22.182,Quaker Bot Long Strafes,LG,5.61s,123,50,0.407,300,738,0.407,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1007,397,2382.0,6042.0,

Kills:,7
Deaths:,0
Fight Time:,39.405998
Avg TTK:,0
Damage Done:,2382.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,2817.241211
Scenario:,Cata IC Long Strafes
Hash:,9bcb93b2f0c30298e66553395dca1bca
Game Version:,2.0.3.2
Challenge Start:,09:53:30.463

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,0.9
Vert Sens:,0.9
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,2560x1080
Avg FPS,299.816406
Resolution Scale,100.0
