Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:03:50.916,Pigeon,Rocket Launcher,4.85s,7,3,0.429,67.675,840,0.081,false
2,20:03:52.733,Pigeon,Rocket Launcher,1.12s,2,2,1,124.517,240,0.519,false
3,20:03:54.034,Pigeon,Rocket Launcher,0.323s,1,1,1,120,120,1,false
4,20:04:00.529,Pigeon,Rocket Launcher,5.854s,9,7,0.778,215.476,1080,0.2,false
5,20:04:05.120,Pigeon,Rocket Launcher,3.667s,5,3,0.6,192.654,600,0.321,false
7,20:04:07.171,Pigeon,Rocket Launcher,0.63s,2,1,0.5,95.399,240,0.397,false
8,20:04:08.873,Pigeon,Rocket Launcher,0.359s,1,1,1,120,120,1,false
9,20:04:10.497,Pigeon,Rocket Launcher,1.199s,2,1,0.5,120,240,0.5,false
10,20:04:20.034,Pigeon,Rocket Launcher,8.97s,3,2,0.667,138.315,360,0.384,false
10,20:04:20.035,Pigeon,Railgun,8.97s,5,1,0.2,80,400,0.2,false
12,20:04:29.900,Pigeon,Rocket Launcher,8.946s,11,4,0.364,140.795,1320,0.107,false
13,20:04:31.853,Pigeon,Rocket Launcher,0.95s,1,1,1,120,120,1,false
14,20:04:35.448,Pigeon,Rocket Launcher,2.694s,4,3,0.75,178.551,480,0.372,false
15,20:04:38.761,Pigeon,Rocket Launcher,3.019s,5,2,0.4,80.428,600,0.134,false
16,20:04:41.762,Pigeon,Rocket Launcher,2.48s,4,3,0.75,131.701,480,0.274,false
17,20:04:45.076,Pigeon,Rocket Launcher,2.964s,5,1,0.2,67.471,600,0.112,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Rocket Launcher,62,36,2032.981445,7440.0,
LG,0,0,0.0,0.0,
Railgun,5,1,80.0,400.0,

Kills:,17
Deaths:,0
Fight Time:,60.664001
Avg TTK:,3.529
Damage Done:,2112.981445
Damage Taken:,0.049999
Midairs:,1
Midaired:,0
Directs:,10
Directed:,0
Distance Traveled:,0.0
Score:,2162.981445
Scenario:,Midair Mix
Hash:,b83cec2236949f538f5e62423030faaf
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Overwatch
Horiz Sens:,4.0
Vert Sens:,4.0
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
