Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,07:51:27.644,Pigeon,Rocket Launcher,2.999s,4,3,0.75,77.102,480,0.161,false
2,07:51:30.752,Pigeon,Rocket Launcher,2.264s,4,3,0.75,99.024,480,0.206,false
3,07:51:34.346,Pigeon,Rocket Launcher,2.786s,5,3,0.6,204.89,600,0.341,false
4,07:51:39.935,Pigeon,Rocket Launcher,4.282s,7,4,0.571,38.896,840,0.046,false
5,07:51:48.180,Pigeon,Rocket Launcher,7.058s,11,8,0.727,196.39,1320,0.149,false
6,07:51:52.170,Pigeon,Rocket Launcher,3.064s,4,2,0.5,201.176,480,0.419,false
7,07:51:55.391,Pigeon,Rocket Launcher,2.639s,5,3,0.6,183.709,600,0.306,false
8,07:51:59.402,Pigeon,Rocket Launcher,3.348s,6,4,0.667,210.122,720,0.292,false
9,07:52:01.383,Pigeon,Rocket Launcher,1.918s,4,1,0.25,50.898,480,0.106,false
10,07:52:04.576,Pigeon,Rocket Launcher,2.09s,4,2,0.5,193.643,480,0.403,false
11,07:52:06.580,Pigeon,Rocket Launcher,0.667s,2,1,0.5,120,240,0.5,false
12,07:52:07.904,Pigeon,Rocket Launcher,0.762s,2,1,0.5,120,240,0.5,false
13,07:52:16.088,Pigeon,Rocket Launcher,6.841s,10,4,0.4,243.472,1200,0.203,false
14,07:52:23.328,Pigeon,Rocket Launcher,6.504s,9,7,0.778,152.077,1080,0.141,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Rocket Launcher,78,47,2144.723145,9360.0,
LG,0,0,0.0,0.0,
Railgun,0,0,0.0,0.0,

Kills:,14
Deaths:,0
Fight Time:,47.222
Avg TTK:,0
Damage Done:,2144.723145
Damage Taken:,15.225853
Midairs:,0
Midaired:,0
Directs:,9
Directed:,0
Distance Traveled:,1226.368774
Score:,2144.723145
Scenario:,Midair Mix
Hash:,b83cec2236949f538f5e62423030faaf
Game Version:,2.0.3.1
Challenge Start:,07:51:23.789

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,0.9
Vert Sens:,0.9
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,2560x1080
Avg FPS,299.69043
Resolution Scale,100.0
