Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,08:01:08.662,target,90 4ML3,0s,1,1,1,1,1,1,false
2,08:01:09.220,target,90 4ML3,0s,1,1,1,1,1,1,false
3,08:01:09.999,target,90 4ML3,0.433s,2,1,0.5,1,2,0.5,false
4,08:01:10.556,target,90 4ML3,0.001s,1,1,1,1,1,1,false
5,08:01:10.945,target,90 4ML3,0s,1,1,1,1,1,1,false
6,08:01:11.525,target,90 4ML3,0s,1,1,1,1,1,1,false
7,08:01:12.185,target,90 4ML3,0s,1,1,1,1,1,1,false
8,08:01:12.755,target,90 4ML3,0s,1,1,1,1,1,1,false
9,08:01:13.265,target,90 4ML3,0s,1,1,1,1,1,1,false
10,08:01:13.928,target,90 4ML3,0s,1,1,1,1,1,1,false
11,08:01:14.164,target,90 4ML3,0s,1,1,1,1,1,1,false
12,08:01:14.681,target,90 4ML3,0s,1,1,1,1,1,1,false
13,08:01:15.134,target,90 4ML3,0s,1,1,1,1,1,1,false
14,08:01:15.814,target,90 4ML3,0s,1,1,1,1,1,1,false
15,08:01:16.461,target,90 4ML3,0s,1,1,1,1,1,1,false
16,08:01:17.228,target,90 4ML3,0s,1,1,1,1,1,1,false
17,08:01:18.163,target,90 4ML3,0.363s,2,1,0.5,1,2,0.5,false
18,08:01:18.954,target,90 4ML3,0s,1,1,1,1,1,1,false
19,08:01:19.411,target,90 4ML3,0s,1,1,1,1,1,1,false
20,08:01:20.011,target,90 4ML3,0.001s,1,1,1,1,1,1,false
21,08:01:20.397,target,90 4ML3,0s,1,1,1,1,1,1,false
22,08:01:20.937,target,90 4ML3,0s,1,1,1,1,1,1,false
23,08:01:21.550,target,90 4ML3,0s,1,1,1,1,1,1,false
24,08:01:22.094,target,90 4ML3,0s,1,1,1,1,1,1,false
25,08:01:22.701,target,90 4ML3,0.001s,1,1,1,1,1,1,false
26,08:01:23.342,target,90 4ML3,0s,1,1,1,1,1,1,false
27,08:01:23.929,target,90 4ML3,0s,1,1,1,1,1,1,false
28,08:01:24.735,target,90 4ML3,0s,1,1,1,1,1,1,false
29,08:01:26.012,target,90 4ML3,0.85s,3,1,0.333,1,3,0.333,false
30,08:01:26.375,target,90 4ML3,0s,1,1,1,1,1,1,false
31,08:01:26.885,target,90 4ML3,0s,1,1,1,1,1,1,false
32,08:01:27.512,target,90 4ML3,0s,1,1,1,1,1,1,false
33,08:01:28.233,target,90 4ML3,0s,1,1,1,1,1,1,false
34,08:01:28.886,target,90 4ML3,0s,1,1,1,1,1,1,false
35,08:01:31.006,target,90 4ML3,1.353s,3,1,0.333,1,3,0.333,false
36,08:01:31.863,target,90 4ML3,0.001s,1,1,1,1,1,1,false
37,08:01:33.441,target,90 4ML3,0.69s,2,1,0.5,1,2,0.5,false
38,08:01:33.991,target,90 4ML3,0s,1,1,1,1,1,1,false
39,08:01:34.890,target,90 4ML3,0s,1,1,1,1,1,1,false
40,08:01:46.537,target,90 4ML3,7.43s,1,1,1,1,1,1,false
40,08:01:46.537,target,40 4ML3,7.43s,1,1,1,0,0,0,false
40,08:01:46.537,target,30 vML,7.43s,3,3,1,0,0,0,false
40,08:01:46.537,target,15 4ML3,7.43s,4,4,1,0,0,0,false
41,08:01:47.580,target,90 4ML3,0s,1,1,1,1,1,1,false
42,08:01:47.960,target,90 4ML3,0s,1,1,1,1,1,1,false
43,08:01:48.686,target,90 4ML3,0s,1,1,1,1,1,1,false
44,08:01:49.300,target,90 4ML3,0s,1,1,1,1,1,1,false
45,08:01:49.653,target,90 4ML3,0s,1,1,1,1,1,1,false
46,08:01:50.524,target,90 4ML3,0s,1,1,1,1,1,1,false
47,08:01:51.237,target,90 4ML3,0s,1,1,1,1,1,1,false
48,08:01:51.938,target,90 4ML3,0s,1,1,1,1,1,1,false
49,08:01:52.558,target,90 4ML3,0s,1,1,1,1,1,1,false
50,08:01:53.036,target,90 4ML3,0s,1,1,1,1,1,1,false
51,08:01:53.640,target,90 4ML3,0s,1,1,1,1,1,1,false
52,08:01:54.113,target,90 4ML3,0s,1,1,1,1,1,1,false
53,08:01:54.653,target,90 4ML3,0s,1,1,1,1,1,1,false
54,08:01:54.849,target,90 4ML3,0s,1,1,1,1,1,1,false
55,08:01:55.203,target,90 4ML3,0s,1,1,1,1,1,1,false
56,08:01:55.639,target,90 4ML3,0s,1,1,1,1,1,1,false
57,08:01:56.273,target,90 4ML3,0s,1,1,1,1,1,1,false
58,08:01:57.517,target,90 4ML3,0.617s,2,1,0.5,1,2,0.5,false
59,08:01:58.083,target,90 4ML3,0s,1,1,1,1,1,1,false
60,08:01:58.773,target,90 4ML3,0s,1,1,1,1,1,1,false
61,08:01:59.356,target,90 4ML3,0s,1,1,1,1,1,1,false
62,08:02:00.069,target,90 4ML3,0.353s,2,1,0.5,1,2,0.5,false
63,08:02:00.437,target,90 4ML3,0s,1,1,1,1,1,1,false
64,08:02:00.810,target,90 4ML3,0s,1,1,1,1,1,1,false
65,08:02:01.490,target,90 4ML3,0.217s,2,1,0.5,1,2,0.5,false
66,08:02:01.763,target,90 4ML3,0s,1,1,1,1,1,1,false
67,08:02:03.070,target,90 4ML3,0.69s,2,1,0.5,1,2,0.5,false
68,08:02:03.556,target,90 4ML3,0.001s,1,1,1,1,1,1,false
69,08:02:04.136,target,90 4ML3,0.001s,1,1,1,1,1,1,false
70,08:02:04.732,target,90 4ML3,0s,1,1,1,1,1,1,false
71,08:02:05.253,target,90 4ML3,0s,1,1,1,1,1,1,false
72,08:02:05.942,target,90 4ML3,0s,1,1,1,1,1,1,false
73,08:02:06.705,target,90 4ML3,0s,1,1,1,1,1,1,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
90 4ML3,84,73,73.0,84.0,
103 16MF9,0,0,0.0,0.0,
40 vML,0,0,0.0,0.0,
45 4ML3,0,0,0.0,0.0,
40 4ML3,1,1,0.0,0.0,
30 vML,3,3,0.0,0.0,
15 4ML3,4,4,0.0,0.0,
10 4ML3,0,0,0.0,0.0,

Kills:,73
Deaths:,0
Fight Time:,13.002
Avg TTK:,0
Damage Done:,73.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,0.0
Scenario:,Multi-FOV Warmup
Hash:,4ae0bcc63fd27eb5e2280e3a06be5e26
Game Version:,2.0.3.1
Challenge Start:,08:01:07.319

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,0.9
Vert Sens:,0.9
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,2560x1080
Avg FPS,298.235596
Resolution Scale,100.0
