Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,08:48:25.456,Pigeon5,pistol,0s,1,1,1,100,200,0.5,false
2,08:49:05.018,Pigeon2,pistol,38.235s,22,1,0.045,100,4400,0.023,false
3,08:49:11.406,Pigeon3,pistol,4.885s,4,1,0.25,100,800,0.125,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,33,3,300.0,6600.0,
LG,0,0,0.0,0.0,

Kills:,3
Deaths:,0
Fight Time:,43.119999
Avg TTK:,20
Damage Done:,300.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,30.0
Scenario:,POPCORN
Hash:,21f0bc5b7d01c9cc8a25f4e5a195770b
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,1.2
Vert Sens:,1.2
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
