Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,08:51:47.825,Pigeon5,pistol,5.859s,5,1,0.2,100,1000,0.1,false
2,08:52:08.069,Pigeon,pistol,19.09s,7,1,0.143,100,1400,0.071,false
3,08:52:09.598,Pigeon2,pistol,0s,1,1,1,100,200,0.5,false
4,08:52:13.109,Pigeon4,pistol,2.034s,2,1,0.5,100,400,0.25,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,29,4,400.0,5800.0,
LG,0,0,0.0,0.0,

Kills:,4
Deaths:,0
Fight Time:,26.983
Avg TTK:,15
Damage Done:,400.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,60.689655
Scenario:,POPCORN
Hash:,21f0bc5b7d01c9cc8a25f4e5a195770b
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,1.2
Vert Sens:,1.2
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
