Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:19:01.523,Pigeon4,pistol,2.8s,3,1,0.333,100,600,0.167,false
2,19:19:03.054,Pigeon4,pistol,0s,1,1,1,100,200,0.5,false
3,19:19:32.933,Pigeon4,pistol,28.412s,18,1,0.056,100,3600,0.028,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,38,3,300.0,7600.0,
LG,0,0,0.0,0.0,

Kills:,3
Deaths:,0
Fight Time:,31.212
Avg TTK:,20
Damage Done:,300.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,26.052631
Scenario:,POPCORN
Hash:,21f0bc5b7d01c9cc8a25f4e5a195770b
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,1.2
Vert Sens:,1.2
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
