Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:13:17.405,Pigeon3,pistol,8.785s,7,1,0.143,100,1400,0.071,false
2,19:13:37.438,Pigeon5,pistol,16.785s,13,1,0.077,100,2600,0.038,false
3,19:13:50.820,Pigeon5,pistol,11.114s,8,1,0.125,100,1600,0.062,false
4,19:14:01.955,Pigeon2,pistol,10.051s,8,1,0.125,100,1600,0.062,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,40,4,400.0,8000.0,
LG,0,0,0.0,0.0,

Kills:,4
Deaths:,0
Fight Time:,46.735001
Avg TTK:,0
Damage Done:,400.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,44.0
Scenario:,POPCORN
Hash:,21f0bc5b7d01c9cc8a25f4e5a195770b
Game Version:,2.0.3.1
Challenge Start:,19:13:06.965

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,0.9
Vert Sens:,0.9
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,2560x1080
Avg FPS,299.671173
Resolution Scale,100.0
