Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,08:31:10.247,Pigeon5,pistol,8.892s,6,1,0.167,100,1200,0.083,false
2,08:31:23.014,Pigeon2,pistol,11.95s,11,1,0.091,100,2200,0.045,false
3,08:31:26.208,Pigeon3,pistol,0s,1,1,1,100,200,0.5,false
4,08:31:26.989,Pigeon2,pistol,0s,1,1,1,100,200,0.5,false
5,08:31:35.718,Pigeon3,pistol,7.236s,7,1,0.143,100,1400,0.071,false
6,08:31:46.168,Pigeon5,pistol,8.424s,6,1,0.167,100,1200,0.083,false
7,08:31:54.349,Pigeon5,pistol,6.503s,7,1,0.143,100,1400,0.071,false
8,08:31:57.203,Pigeon3,pistol,0s,1,1,1,100,200,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,41,8,800.0,8200.0,
LG,0,0,0.0,0.0,

Kills:,8
Deaths:,0
Fight Time:,43.005001
Avg TTK:,0
Damage Done:,800.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,171.707306
Scenario:,POPCORN
Hash:,21f0bc5b7d01c9cc8a25f4e5a195770b
Game Version:,2.0.3.1
Challenge Start:,08:30:59.451

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,0.9
Vert Sens:,0.9
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,2560x1080
Avg FPS,295.91626
Resolution Scale,100.0
