Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,12:51:26.691,Pigeon5,pistol,2.623s,3,1,0.333,100,600,0.167,false
2,12:51:30.760,Pigeon5,pistol,2.778s,4,1,0.25,100,800,0.125,false
3,12:51:43.400,Pigeon5,pistol,11.563s,10,1,0.1,100,2000,0.05,false
4,12:52:02.490,Pigeon4,pistol,17.948s,14,1,0.071,100,2800,0.036,false
5,12:52:08.789,Pigeon3,pistol,5.261s,4,1,0.25,100,800,0.125,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,43,5,500.0,8600.0,
LG,0,0,0.0,0.0,

Kills:,5
Deaths:,0
Fight Time:,40.173
Avg TTK:,0
Damage Done:,500.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,63.953491
Scenario:,POPCORN
Hash:,21f0bc5b7d01c9cc8a25f4e5a195770b
Game Version:,2.0.3.1
Challenge Start:,12:51:22.093

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,0.9
Vert Sens:,0.9
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,2560x1080
Avg FPS,293.890045
Resolution Scale,100.0
