Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,12:52:51.405,Pigeon5,pistol,18.093s,14,1,0.071,100,2800,0.036,false
2,12:52:53.283,Pigeon3,pistol,0s,1,1,1,100,200,0.5,false
3,12:52:55.436,Pigeon2,pistol,1.232s,2,1,0.5,100,400,0.25,false
4,12:53:00.094,Pigeon4,pistol,3.335s,4,1,0.25,100,800,0.125,false
5,12:53:11.086,Pigeon,pistol,9.629s,8,1,0.125,100,1600,0.062,false
6,12:53:16.574,Pigeon4,pistol,3.981s,3,1,0.333,100,600,0.167,false
7,12:53:23.375,Pigeon,pistol,5.415s,3,1,0.333,100,600,0.167,false
8,12:53:26.234,Pigeon3,pistol,1.932s,2,1,0.5,100,400,0.25,false
9,12:53:29.494,Pigeon4,pistol,2.355s,3,1,0.333,100,600,0.167,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,41,9,900.0,8200.0,
LG,0,0,0.0,0.0,

Kills:,9
Deaths:,0
Fight Time:,45.972
Avg TTK:,0
Damage Done:,900.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,217.317078
Scenario:,POPCORN
Hash:,21f0bc5b7d01c9cc8a25f4e5a195770b
Game Version:,2.0.3.1
Challenge Start:,12:52:32.143

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,0.9
Vert Sens:,0.9
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,2560x1080
Avg FPS,294.731842
Resolution Scale,100.0
