Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,12:33:46.714,Pigeon2,pistol,13.367s,4,1,0.25,100,800,0.125,false
2,12:33:48.457,Pigeon5,pistol,0s,1,1,1,100,200,0.5,false
3,12:33:54.235,Pigeon5,pistol,4.966s,3,1,0.333,100,600,0.167,false
4,12:33:59.232,Pigeon2,pistol,4.267s,4,1,0.25,100,800,0.125,false
5,12:34:03.188,Pigeon3,pistol,2.902s,3,1,0.333,100,600,0.167,false
6,12:34:04.709,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
7,12:34:13.559,Pigeon3,pistol,7.56s,7,1,0.143,100,1400,0.071,false
8,12:34:33.590,Pigeon4,pistol,17.913s,18,1,0.056,100,3600,0.028,false
9,12:34:35.923,Pigeon,pistol,1.307s,2,1,0.5,100,400,0.25,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,44,9,900.0,8800.0,
LG,0,0,0.0,0.0,

Kills:,9
Deaths:,0
Fight Time:,52.282001
Avg TTK:,0
Damage Done:,900.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,202.5
Scenario:,POPCORN
Hash:,21f0bc5b7d01c9cc8a25f4e5a195770b
Game Version:,2.0.3.2
Challenge Start:,12:33:44.620

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,0.9
Vert Sens:,0.9
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,2560x1080
Avg FPS,298.825439
Resolution Scale,100.0
