Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,17:08:14.496,test360,pistol,2.119s,3,1,0.333,1000,7500,0.133,false
2,17:08:15.982,test360,pistol,0.837s,2,1,0.5,1000,5000,0.2,false
3,17:08:18.474,test360,pistol,0.586s,2,1,0.5,1000,5000,0.2,false
4,17:08:19.639,test360,pistol,0s,1,1,1,1000,2500,0.4,false
5,17:08:21.054,test360,pistol,0.498s,2,1,0.5,1000,5000,0.2,false
6,17:08:21.997,test360,pistol,0s,1,1,1,1000,2500,0.4,false
7,17:08:24.610,test360,pistol,1.67s,3,1,0.333,1000,7500,0.133,false
8,17:08:26.560,test360,pistol,0.628s,2,1,0.5,1000,5000,0.2,false
9,17:08:27.540,test360,pistol,0s,1,1,1,1000,2500,0.4,false
10,17:08:28.077,test360,pistol,0s,1,1,1,1000,2500,0.4,false
11,17:08:28.693,test360,pistol,0s,1,1,1,1000,2500,0.4,false
12,17:08:29.284,test360,pistol,0s,1,1,1,1000,2500,0.4,false
13,17:08:30.292,test360,pistol,0s,1,1,1,1000,2500,0.4,false
14,17:08:31.220,test360,pistol,0s,1,1,1,1000,2500,0.4,false
15,17:08:33.495,test360,pistol,1.261s,3,1,0.333,1000,7500,0.133,false
16,17:08:34.024,test360,pistol,0s,1,1,1,1000,2500,0.4,false
17,17:08:39.208,test360,pistol,3.819s,4,1,0.25,1000,10000,0.1,false
18,17:08:40.301,test360,pistol,0.544s,2,1,0.5,1000,5000,0.2,false
19,17:08:41.424,test360,pistol,0s,1,1,1,1000,2500,0.4,false
20,17:08:42.997,test360,pistol,0s,1,1,1,1000,2500,0.4,false
21,17:08:48.572,test360,pistol,5s,6,1,0.167,1000,15000,0.067,false
22,17:08:49.120,test360,pistol,0s,1,1,1,1000,2500,0.4,false
23,17:08:50.788,test360,pistol,0.963s,2,1,0.5,1000,5000,0.2,false
24,17:08:52.004,test360,pistol,0.514s,2,1,0.5,1000,5000,0.2,false
25,17:08:53.286,test360,pistol,0s,1,1,1,1000,2500,0.4,false
26,17:08:54.277,test360,pistol,0s,1,1,1,1000,2500,0.4,false
27,17:08:56.514,test360,pistol,1.011s,2,1,0.5,1000,5000,0.2,false
28,17:08:59.703,test360,pistol,2.502s,3,1,0.333,1000,7500,0.133,false
29,17:09:00.718,test360,pistol,0s,1,1,1,1000,2500,0.4,false
30,17:09:07.167,test360,pistol,5.88s,6,1,0.167,1000,15000,0.067,false
31,17:09:08.078,test360,pistol,0.001s,1,1,1,1000,2500,0.4,false
32,17:09:09.692,test360,pistol,0.427s,2,1,0.5,1000,5000,0.2,false
33,17:09:10.688,test360,pistol,0.5s,2,1,0.5,1000,5000,0.2,false
34,17:09:12.661,test360,pistol,1.369s,2,1,0.5,1000,5000,0.2,false
35,17:09:13.080,test360,pistol,0.001s,1,1,1,1000,2500,0.4,false
36,17:09:16.194,test360,pistol,2.605s,5,1,0.2,1000,12500,0.08,false
37,17:09:19.793,test360,pistol,3.013s,5,1,0.2,1000,12500,0.08,false
38,17:09:20.378,test360,pistol,0s,1,1,1,1000,2500,0.4,false
39,17:09:21.282,test360,pistol,0s,1,1,1,1000,2500,0.4,false
40,17:09:23.180,test360,pistol,0.473s,2,1,0.5,1000,5000,0.2,false
41,17:09:26.365,test360,pistol,2.629s,4,1,0.25,1000,10000,0.1,false
42,17:09:26.872,test360,pistol,0s,1,1,1,1000,2500,0.4,false
43,17:09:28.288,test360,pistol,0.926s,2,1,0.5,1000,5000,0.2,false
44,17:09:28.680,test360,pistol,0s,1,1,1,1000,2500,0.4,false
45,17:09:30.021,test360,pistol,0.756s,2,1,0.5,1000,5000,0.2,false
46,17:09:30.565,test360,pistol,0s,1,1,1,1000,2500,0.4,false
47,17:09:31.250,test360,pistol,0s,1,1,1,1000,2500,0.4,false
48,17:09:32.982,test360,pistol,0.936s,2,1,0.5,1000,5000,0.2,false
49,17:09:33.430,test360,pistol,0s,1,1,1,1000,2500,0.4,false
50,17:09:35.166,test360,pistol,0.812s,2,1,0.5,1000,5000,0.2,false
51,17:09:35.569,test360,pistol,0s,1,1,1,1000,2500,0.4,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,100,51,51000.0,250000.0,

Kills:,51
Deaths:,0
Fight Time:,42.279999
Avg TTK:,1.681
Damage Done:,51000.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,153000.0
Scenario:,Pasu Dodge Easy
Hash:,44c7669019c230e7337c2b3835e942dc
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,0.9
Vert Sens:,0.9
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
