Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,16:44:28.369,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
2,16:44:29.133,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
3,16:44:29.737,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
4,16:44:30.265,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
5,16:44:30.924,Balloon,Pressure BB Gun,0.209s,2,1,0.5,2,4,0.5,false
6,16:44:31.312,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
7,16:44:32.499,Balloon,Pressure BB Gun,0.936s,2,1,0.5,2,4,0.5,false
8,16:44:32.922,Balloon,Pressure BB Gun,0.001s,1,1,1,2,2,1,false
9,16:44:33.839,Balloon,Pressure BB Gun,0.377s,2,1,0.5,2,4,0.5,false
10,16:44:34.384,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
11,16:44:34.831,Balloon,Pressure BB Gun,0.001s,1,1,1,2,2,1,false
12,16:44:35.280,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
13,16:44:35.905,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
14,16:44:36.288,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
15,16:44:36.668,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
16,16:44:37.553,Balloon,Pressure BB Gun,0.366s,2,1,0.5,2,4,0.5,false
17,16:44:37.957,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
18,16:44:38.309,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
19,16:44:38.618,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
20,16:44:39.239,Balloon,Pressure BB Gun,0.294s,2,1,0.5,2,4,0.5,false
21,16:44:39.573,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
22,16:44:40.024,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
23,16:44:40.460,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
24,16:44:41.094,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
25,16:44:42.334,Balloon,Pressure BB Gun,0.673s,2,1,0.5,2,4,0.5,false
26,16:44:43.093,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
27,16:44:43.871,Balloon,Pressure BB Gun,0.001s,1,1,1,2,2,1,false
28,16:44:44.246,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
29,16:44:44.916,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
30,16:44:45.992,Balloon,Pressure BB Gun,0.522s,2,1,0.5,2,4,0.5,false
31,16:44:46.547,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
32,16:44:47.103,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
33,16:44:47.571,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
34,16:44:47.996,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
35,16:44:48.573,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
36,16:44:49.334,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
37,16:44:49.726,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
38,16:44:50.100,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
39,16:44:50.679,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
40,16:44:51.019,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
41,16:44:51.510,Balloon,Pressure BB Gun,0.001s,1,1,1,2,2,1,false
42,16:44:52.533,Balloon,Pressure BB Gun,0.252s,2,1,0.5,2,4,0.5,false
43,16:44:53.304,Balloon,Pressure BB Gun,0.293s,2,1,0.5,2,4,0.5,false
44,16:44:53.500,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
45,16:44:53.977,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
46,16:44:54.174,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
47,16:44:54.739,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
48,16:44:55.059,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
49,16:44:55.558,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
50,16:44:56.115,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
51,16:44:56.639,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
52,16:44:57.488,Balloon,Pressure BB Gun,0.4s,2,1,0.5,2,4,0.5,false
53,16:44:58.365,Balloon,Pressure BB Gun,0.372s,2,1,0.5,2,4,0.5,false
54,16:44:58.696,Balloon,Pressure BB Gun,0.001s,1,1,1,2,2,1,false
55,16:44:58.910,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
56,16:44:59.304,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
57,16:44:59.677,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
58,16:45:00.104,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
59,16:45:00.578,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
