Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,14:47:10.189,target_decay,pistol,0.728s,2,1,0.5,25,100,0.25,false
2,14:47:17.328,target_decay,pistol,6.279s,8,1,0.125,25,400,0.062,false
3,14:47:21.812,target_decay,pistol,3.504s,5,1,0.2,25,250,0.1,false
4,14:47:22.688,target_decay,pistol,0s,1,1,1,25,50,0.5,false
5,14:47:24.348,target_decay,pistol,0.813s,2,1,0.5,25,100,0.25,false
6,14:47:28.606,target_decay,pistol,3.325s,5,1,0.2,25,250,0.1,false
7,14:47:36.513,target_decay,pistol,7.153s,9,1,0.111,25,450,0.056,false
8,14:47:48.073,target_decay,pistol,10.792s,13,1,0.077,25,650,0.038,false
9,14:47:50.660,target_decay,pistol,1.633s,3,1,0.333,25,150,0.167,false
10,14:47:51.508,target_decay,pistol,0s,1,1,1,25,50,0.5,false
11,14:47:55.874,target_decay,pistol,3.407s,5,1,0.2,25,250,0.1,false
12,14:47:56.615,target_decay,pistol,0s,1,1,1,25,50,0.5,false
13,14:47:58.362,target_decay,pistol,0.824s,2,1,0.5,25,100,0.25,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,68,13,325.0,3400.0,

Kills:,13
Deaths:,0
Fight Time:,38.458
Avg TTK:,4.615
Damage Done:,325.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,248.529419
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,1.2
Vert Sens:,1.2
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
