Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,14:48:14.389,target_decay,pistol,0.931s,2,1,0.5,25,100,0.25,false
2,14:48:15.202,target_decay,pistol,0s,1,1,1,25,50,0.5,false
3,14:48:16.827,target_decay,pistol,0.727s,2,1,0.5,25,100,0.25,false
4,14:48:18.554,target_decay,pistol,0.837s,2,1,0.5,25,100,0.25,false
5,14:48:20.154,target_decay,pistol,0.811s,2,1,0.5,25,100,0.25,false
6,14:48:28.212,target_decay,pistol,7.15s,9,1,0.111,25,450,0.056,false
7,14:48:40.784,target_decay,pistol,11.622s,14,1,0.071,25,700,0.036,false
8,14:48:42.581,target_decay,pistol,0.956s,2,1,0.5,25,100,0.25,false
9,14:48:43.394,target_decay,pistol,0s,1,1,1,25,50,0.5,false
10,14:48:48.684,target_decay,pistol,4.454s,6,1,0.167,25,300,0.083,false
11,14:48:49.554,target_decay,pistol,0s,1,1,1,25,50,0.5,false
12,14:48:52.058,target_decay,pistol,1.464s,3,1,0.333,25,150,0.167,false
13,14:48:56.325,target_decay,pistol,3.411s,5,1,0.2,25,250,0.1,false
14,14:48:57.058,target_decay,pistol,0s,1,1,1,25,50,0.5,false
15,14:49:00.595,target_decay,pistol,2.73s,4,1,0.25,25,200,0.125,false
16,14:49:02.393,target_decay,pistol,0.891s,2,1,0.5,25,100,0.25,false
17,14:49:04.132,target_decay,pistol,0.883s,2,1,0.5,25,100,0.25,false
18,14:49:09.549,target_decay,pistol,4.376s,6,1,0.167,25,300,0.083,false
19,14:49:10.379,target_decay,pistol,0s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,69,19,475.0,3450.0,

Kills:,19
Deaths:,0
Fight Time:,41.243
Avg TTK:,3.158
Damage Done:,475.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,523.188416
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,1.2
Vert Sens:,1.2
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
