Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:59:58.558,target_decay,pistol,2.608s,4,1,0.25,25,200,0.125,false
2,20:00:00.258,target_decay,pistol,1.023s,2,1,0.5,25,100,0.25,false
3,20:00:05.441,target_decay,pistol,4.33s,6,1,0.167,25,300,0.083,false
4,20:00:08.002,target_decay,pistol,1.744s,3,1,0.333,25,150,0.167,false
5,20:00:13.275,target_decay,pistol,4.497s,6,1,0.167,25,300,0.083,false
6,20:00:19.559,target_decay,pistol,5.504s,7,1,0.143,25,350,0.071,false
7,20:00:21.276,target_decay,pistol,0.837s,2,1,0.5,25,100,0.25,false
8,20:00:24.850,target_decay,pistol,2.774s,4,1,0.25,25,200,0.125,false
9,20:00:25.730,target_decay,pistol,0s,1,1,1,25,50,0.5,false
10,20:00:28.277,target_decay,pistol,1.708s,3,1,0.333,25,150,0.167,false
11,20:00:42.471,target_decay,pistol,13.421s,16,1,0.062,25,800,0.031,false
12,20:00:47.712,target_decay,pistol,4.424s,6,1,0.167,25,300,0.083,false
13,20:00:52.006,target_decay,pistol,3.541s,5,1,0.2,25,250,0.1,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,68,13,325.0,3400.0,

Kills:,13
Deaths:,0
Fight Time:,46.410999
Avg TTK:,4.615
Damage Done:,325.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,248.529419
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,1.2
Vert Sens:,1.2
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
