Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:02:36.763,target_decay,pistol,9.786s,12,1,0.083,25,600,0.042,false
2,20:02:38.367,target_decay,pistol,0.787s,2,1,0.5,25,100,0.25,false
3,20:02:43.521,target_decay,pistol,4.438s,6,1,0.167,25,300,0.083,false
4,20:02:52.456,target_decay,pistol,8.269s,10,1,0.1,25,500,0.05,false
5,20:03:01.358,target_decay,pistol,7.944s,10,1,0.1,25,500,0.05,false
6,20:03:04.858,target_decay,pistol,2.61s,4,1,0.25,25,200,0.125,false
7,20:03:09.326,target_decay,pistol,3.645s,5,1,0.2,25,250,0.1,false
8,20:03:17.484,target_decay,pistol,7.231s,9,1,0.111,25,450,0.056,false
9,20:03:23.802,target_decay,pistol,5.511s,7,1,0.143,25,350,0.071,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,68,9,225.0,3400.0,

Kills:,9
Deaths:,0
Fight Time:,50.221001
Avg TTK:,6.667
Damage Done:,225.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,119.117653
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Overwatch
Horiz Sens:,4.0
Vert Sens:,4.0
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
