Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,09:04:45.474,target_decay,pistol,0.678s,2,1,0.5,25,100,0.25,false
2,09:04:47.850,target_decay,pistol,1.683s,3,1,0.333,25,150,0.167,false
3,09:04:54.775,target_decay,pistol,6.168s,8,1,0.125,25,400,0.062,false
4,09:04:59.049,target_decay,pistol,3.601s,5,1,0.2,25,250,0.1,false
5,09:05:05.138,target_decay,pistol,5.346s,7,1,0.143,25,350,0.071,false
6,09:05:08.467,target_decay,pistol,2.642s,4,1,0.25,25,200,0.125,false
7,09:05:16.361,target_decay,pistol,7.185s,9,1,0.111,25,450,0.056,false
8,09:05:17.943,target_decay,pistol,0.807s,2,1,0.5,25,100,0.25,false
9,09:05:32.123,target_decay,pistol,13.203s,16,1,0.062,25,800,0.031,false
10,09:05:33.698,target_decay,pistol,0.911s,2,1,0.5,25,100,0.25,false
11,09:05:34.477,target_decay,pistol,0s,1,1,1,25,50,0.5,false
12,09:05:36.086,target_decay,pistol,0.859s,2,1,0.5,25,100,0.25,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,70,12,300.0,3500.0,

Kills:,12
Deaths:,0
Fight Time:,43.083
Avg TTK:,0
Damage Done:,300.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,205.714294
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.3.1
Challenge Start:,09:04:44.173

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,0.9
Vert Sens:,0.9
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,2560x1080
Avg FPS,299.375092
Resolution Scale,100.0
