Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,09:05:51.342,target_decay,pistol,0s,1,1,1,25,50,0.5,false
2,09:06:00.248,target_decay,pistol,8.182s,10,1,0.1,25,500,0.05,false
3,09:06:04.695,target_decay,pistol,3.7s,5,1,0.2,25,250,0.1,false
4,09:06:05.511,target_decay,pistol,0s,1,1,1,25,50,0.5,false
5,09:06:07.257,target_decay,pistol,0.857s,2,1,0.5,25,100,0.25,false
6,09:06:09.832,target_decay,pistol,1.833s,3,1,0.333,25,150,0.167,false
7,09:06:10.702,target_decay,pistol,0s,1,1,1,25,50,0.5,false
8,09:06:11.497,target_decay,pistol,0s,1,1,1,25,50,0.5,false
9,09:06:14.980,target_decay,pistol,2.594s,4,1,0.25,25,200,0.125,false
10,09:06:25.757,target_decay,pistol,9.954s,12,1,0.083,25,600,0.042,false
11,09:06:30.116,target_decay,pistol,3.442s,5,1,0.2,25,250,0.1,false
12,09:06:32.761,target_decay,pistol,1.925s,3,1,0.333,25,150,0.167,false
13,09:06:33.615,target_decay,pistol,0s,1,1,1,25,50,0.5,false
14,09:06:34.446,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
15,09:06:38.828,target_decay,pistol,3.673s,5,1,0.2,25,250,0.1,false
16,09:06:42.332,target_decay,pistol,2.791s,4,1,0.25,25,200,0.125,false
17,09:06:44.055,target_decay,pistol,0.984s,2,1,0.5,25,100,0.25,false
18,09:06:45.732,target_decay,pistol,0.899s,2,1,0.5,25,100,0.25,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,68,18,450.0,3400.0,

Kills:,18
Deaths:,0
Fight Time:,40.834999
Avg TTK:,0
Damage Done:,450.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,476.470612
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.3.1
Challenge Start:,09:05:50.892

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,0.9
Vert Sens:,0.9
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,2560x1080
Avg FPS,299.471893
Resolution Scale,100.0
