Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,13:04:45.932,target_decay,pistol,1.821s,3,1,0.333,25,150,0.167,false
2,13:04:46.635,target_decay,pistol,0s,1,1,1,25,50,0.5,false
3,13:04:47.346,target_decay,pistol,0s,1,1,1,25,50,0.5,false
4,13:04:53.492,target_decay,pistol,5.469s,7,1,0.143,25,350,0.071,false
5,13:04:58.705,target_decay,pistol,4.483s,6,1,0.167,25,300,0.083,false
6,13:05:00.289,target_decay,pistol,0.817s,2,1,0.5,25,100,0.25,false
7,13:05:01.955,target_decay,pistol,0.845s,2,1,0.5,25,100,0.25,false
8,13:05:02.755,target_decay,pistol,0s,1,1,1,25,50,0.5,false
9,13:05:04.346,target_decay,pistol,0.831s,2,1,0.5,25,100,0.25,false
10,13:05:05.969,target_decay,pistol,0.799s,2,1,0.5,25,100,0.25,false
11,13:05:06.703,target_decay,pistol,0s,1,1,1,25,50,0.5,false
12,13:05:08.359,target_decay,pistol,0.911s,2,1,0.5,25,100,0.25,false
13,13:05:10.046,target_decay,pistol,0.907s,2,1,0.5,25,100,0.25,false
14,13:05:14.543,target_decay,pistol,3.767s,5,1,0.2,25,250,0.1,false
15,13:05:17.224,target_decay,pistol,1.934s,3,1,0.333,25,150,0.167,false
16,13:05:17.958,target_decay,pistol,0s,1,1,1,25,50,0.5,false
17,13:05:18.738,target_decay,pistol,0s,1,1,1,25,50,0.5,false
18,13:05:20.407,target_decay,pistol,0.874s,2,1,0.5,25,100,0.25,false
19,13:05:21.179,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
20,13:05:21.890,target_decay,pistol,0s,1,1,1,25,50,0.5,false
21,13:05:22.571,target_decay,pistol,0s,1,1,1,25,50,0.5,false
22,13:05:23.304,target_decay,pistol,0s,1,1,1,25,50,0.5,false
23,13:05:25.853,target_decay,pistol,1.862s,3,1,0.333,25,150,0.167,false
24,13:05:29.341,target_decay,pistol,2.737s,4,1,0.25,25,200,0.125,false
25,13:05:38.245,target_decay,pistol,8.119s,10,1,0.1,25,500,0.05,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,71,25,625.0,3550.0,

Kills:,25
Deaths:,0
Fight Time:,36.176998
Avg TTK:,0
Damage Done:,625.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,880.281677
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.3.1
Challenge Start:,13:04:43.644

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,0.9
Vert Sens:,0.9
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,2560x1080
Avg FPS,299.240845
Resolution Scale,100.0
