Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,21:34:18.284,target_decay,pistol,0s,1,1,1,25,50,0.5,false
2,21:34:19.025,target_decay,pistol,0s,1,1,1,25,50,0.5,false
3,21:34:20.687,target_decay,pistol,0.903s,2,1,0.5,25,100,0.25,false
4,21:34:25.038,target_decay,pistol,3.521s,5,1,0.2,25,250,0.1,false
5,21:34:25.778,target_decay,pistol,0s,1,1,1,25,50,0.5,false
6,21:34:26.536,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
7,21:34:28.230,target_decay,pistol,0.963s,2,1,0.5,25,100,0.25,false
8,21:34:29.969,target_decay,pistol,0.944s,2,1,0.5,25,100,0.25,false
9,21:34:30.687,target_decay,pistol,0s,1,1,1,25,50,0.5,false
10,21:34:31.457,target_decay,pistol,0s,1,1,1,25,50,0.5,false
11,21:34:33.117,target_decay,pistol,0.794s,2,1,0.5,25,100,0.25,false
12,21:34:38.354,target_decay,pistol,4.52s,6,1,0.167,25,300,0.083,false
13,21:34:43.577,target_decay,pistol,4.485s,6,1,0.167,25,300,0.083,false
14,21:34:44.370,target_decay,pistol,0s,1,1,1,25,50,0.5,false
15,21:35:02.284,target_decay,pistol,17.179s,20,1,0.05,25,1000,0.025,false
16,21:35:07.663,target_decay,pistol,4.659s,6,1,0.167,25,300,0.083,false
17,21:35:14.841,target_decay,pistol,6.41s,8,1,0.125,25,400,0.062,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,68,17,425.0,3400.0,

Kills:,17
Deaths:,0
Fight Time:,44.379002
Avg TTK:,0
Damage Done:,425.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,425.0
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.3.2
Challenge Start:,21:34:16.945

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,0.9
Vert Sens:,0.9
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,2560x1080
Avg FPS,298.713623
Resolution Scale,100.0
