Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,21:35:21.037,target_decay,pistol,0s,1,1,1,25,50,0.5,false
2,21:35:24.546,target_decay,pistol,2.806s,4,1,0.25,25,200,0.125,false
3,21:35:26.161,target_decay,pistol,0.826s,2,1,0.5,25,100,0.25,false
4,21:35:27.837,target_decay,pistol,0.938s,2,1,0.5,25,100,0.25,false
5,21:35:30.538,target_decay,pistol,1.881s,3,1,0.333,25,150,0.167,false
6,21:35:31.282,target_decay,pistol,0s,1,1,1,25,50,0.5,false
7,21:35:33.822,target_decay,pistol,1.694s,3,1,0.333,25,150,0.167,false
8,21:35:39.055,target_decay,pistol,4.367s,6,1,0.167,25,300,0.083,false
9,21:35:39.788,target_decay,pistol,0s,1,1,1,25,50,0.5,false
10,21:35:44.155,target_decay,pistol,3.619s,5,1,0.2,25,250,0.1,false
11,21:35:44.935,target_decay,pistol,0s,1,1,1,25,50,0.5,false
12,21:35:47.504,target_decay,pistol,1.753s,3,1,0.333,25,150,0.167,false
13,21:35:52.833,target_decay,pistol,4.502s,6,1,0.167,25,300,0.083,false
14,21:35:53.569,target_decay,pistol,0s,1,1,1,25,50,0.5,false
15,21:35:55.197,target_decay,pistol,0.83s,2,1,0.5,25,100,0.25,false
16,21:36:05.784,target_decay,pistol,9.789s,12,1,0.083,25,600,0.042,false
17,21:36:17.382,target_decay,pistol,10.794s,13,1,0.077,25,650,0.038,false
18,21:36:19.132,target_decay,pistol,0.92s,2,1,0.5,25,100,0.25,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,69,18,450.0,3450.0,

Kills:,18
Deaths:,0
Fight Time:,44.719002
Avg TTK:,0
Damage Done:,450.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,469.565216
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.3.2
Challenge Start:,21:35:20.580

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,0.9
Vert Sens:,0.9
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,2560x1080
Avg FPS,298.887665
Resolution Scale,100.0
