Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,12:47:25.332,target_decay,pistol,2.681s,4,1,0.25,25,200,0.125,false
2,12:47:26.026,target_decay,pistol,0s,1,1,1,25,50,0.5,false
3,12:47:27.665,target_decay,pistol,0.917s,2,1,0.5,25,100,0.25,false
4,12:47:40.988,target_decay,pistol,12.498s,15,1,0.067,25,750,0.033,false
5,12:47:48.948,target_decay,pistol,7.157s,9,1,0.111,25,450,0.056,false
6,12:47:50.581,target_decay,pistol,0.892s,2,1,0.5,25,100,0.25,false
7,12:47:51.352,target_decay,pistol,0s,1,1,1,25,50,0.5,false
8,12:47:56.562,target_decay,pistol,4.331s,6,1,0.167,25,300,0.083,false
9,12:47:58.160,target_decay,pistol,0.85s,2,1,0.5,25,100,0.25,false
10,12:47:59.737,target_decay,pistol,0.778s,2,1,0.5,25,100,0.25,false
11,12:48:00.502,target_decay,pistol,0s,1,1,1,25,50,0.5,false
12,12:48:02.141,target_decay,pistol,0.784s,2,1,0.5,25,100,0.25,false
13,12:48:02.851,target_decay,pistol,0s,1,1,1,25,50,0.5,false
14,12:48:03.505,target_decay,pistol,0s,1,1,1,25,50,0.5,false
15,12:48:08.747,target_decay,pistol,4.553s,6,1,0.167,25,300,0.083,false
16,12:48:10.325,target_decay,pistol,0.812s,2,1,0.5,25,100,0.25,false
17,12:48:19.094,target_decay,pistol,7.949s,10,1,0.1,25,500,0.05,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,69,17,425.0,3450.0,

Kills:,17
Deaths:,0
Fight Time:,44.202
Avg TTK:,0
Damage Done:,425.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,418.840576
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.3.2
Challenge Start:,12:47:21.299

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,0.9
Vert Sens:,0.9
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,2560x1080
Avg FPS,298.711548
Resolution Scale,100.0
