Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,12:48:28.347,target_decay,pistol,0.846s,2,1,0.5,25,100,0.25,false
2,12:48:30.878,target_decay,pistol,1.766s,3,1,0.333,25,150,0.167,false
3,12:48:34.259,target_decay,pistol,2.672s,4,1,0.25,25,200,0.125,false
4,12:48:35.869,target_decay,pistol,0.867s,2,1,0.5,25,100,0.25,false
5,12:48:43.720,target_decay,pistol,7.098s,9,1,0.111,25,450,0.056,false
6,12:48:45.318,target_decay,pistol,0.862s,2,1,0.5,25,100,0.25,false
7,12:48:46.063,target_decay,pistol,0s,1,1,1,25,50,0.5,false
8,12:48:46.826,target_decay,pistol,0s,1,1,1,25,50,0.5,false
9,12:48:51.035,target_decay,pistol,3.49s,5,1,0.2,25,250,0.1,false
10,12:48:52.620,target_decay,pistol,0.881s,2,1,0.5,25,100,0.25,false
11,12:48:57.827,target_decay,pistol,4.397s,6,1,0.167,25,300,0.083,false
12,12:48:58.590,target_decay,pistol,0s,1,1,1,25,50,0.5,false
13,12:48:59.306,target_decay,pistol,0s,1,1,1,25,50,0.5,false
14,12:49:03.593,target_decay,pistol,3.578s,5,1,0.2,25,250,0.1,false
15,12:49:07.934,target_decay,pistol,3.639s,5,1,0.2,25,250,0.1,false
16,12:49:09.592,target_decay,pistol,0.885s,2,1,0.5,25,100,0.25,false
17,12:49:10.310,target_decay,pistol,0s,1,1,1,25,50,0.5,false
18,12:49:13.724,target_decay,pistol,2.64s,4,1,0.25,25,200,0.125,false
19,12:49:15.401,target_decay,pistol,0.833s,2,1,0.5,25,100,0.25,false
20,12:49:17.124,target_decay,pistol,0.894s,2,1,0.5,25,100,0.25,false
21,12:49:21.519,target_decay,pistol,3.628s,5,1,0.2,25,250,0.1,false
22,12:49:22.275,target_decay,pistol,0s,1,1,1,25,50,0.5,false
23,12:49:23.038,target_decay,pistol,0s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,71,23,575.0,3550.0,

Kills:,23
Deaths:,0
Fight Time:,38.976002
Avg TTK:,0
Damage Done:,575.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,745.070435
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.3.2
Challenge Start:,12:48:27.043

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,0.9
Vert Sens:,0.9
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,2560x1080
Avg FPS,298.716736
Resolution Scale,100.0
