Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,10:22:26.742,target_decay,pistol,1.726s,3,1,0.333,25,150,0.167,false
2,10:22:28.441,target_decay,pistol,0.92s,2,1,0.5,25,100,0.25,false
3,10:22:29.222,target_decay,pistol,0s,1,1,1,25,50,0.5,false
4,10:22:31.825,target_decay,pistol,1.854s,3,1,0.333,25,150,0.167,false
5,10:22:38.879,target_decay,pistol,6.323s,8,1,0.125,25,400,0.062,false
6,10:22:40.493,target_decay,pistol,0.834s,2,1,0.5,25,100,0.25,false
7,10:22:45.754,target_decay,pistol,4.544s,6,1,0.167,25,300,0.083,false
8,10:22:46.547,target_decay,pistol,0s,1,1,1,25,50,0.5,false
9,10:22:47.352,target_decay,pistol,0s,1,1,1,25,50,0.5,false
10,10:22:49.984,target_decay,pistol,1.873s,3,1,0.333,25,150,0.167,false
11,10:22:51.638,target_decay,pistol,0.844s,2,1,0.5,25,100,0.25,false
12,10:22:55.091,target_decay,pistol,2.692s,4,1,0.25,25,200,0.125,false
13,10:22:55.889,target_decay,pistol,0s,1,1,1,25,50,0.5,false
14,10:23:02.129,target_decay,pistol,5.507s,7,1,0.143,25,350,0.071,false
15,10:23:11.980,target_decay,pistol,9.015s,11,1,0.091,25,550,0.045,false
16,10:23:14.610,target_decay,pistol,1.897s,3,1,0.333,25,150,0.167,false
17,10:23:18.070,target_decay,pistol,2.66s,4,1,0.25,25,200,0.125,false
18,10:23:18.874,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
19,10:23:23.305,target_decay,pistol,3.645s,5,1,0.2,25,250,0.1,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,68,19,475.0,3400.0,

Kills:,19
Deaths:,0
Fight Time:,44.334999
Avg TTK:,0
Damage Done:,475.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,530.882324
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.3.2
Challenge Start:,10:22:23.678

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,0.9
Vert Sens:,0.9
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,2560x1080
Avg FPS,299.785034
Resolution Scale,100.0
