Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,16:57:24.818,target_decay,pistol,0.71s,2,1,0.5,25,100,0.25,false
2,16:57:28.812,target_decay,pistol,3.248s,5,1,0.2,25,250,0.1,false
3,16:57:38.619,target_decay,pistol,9.048s,12,1,0.083,25,600,0.042,false
4,16:57:44.237,target_decay,pistol,4.821s,7,1,0.143,25,350,0.071,false
5,16:57:48.330,target_decay,pistol,3.307s,5,1,0.2,25,250,0.1,false
6,16:57:57.202,target_decay,pistol,8.134s,11,1,0.091,25,550,0.045,false
7,16:58:16.701,target_decay,pistol,18.69s,24,1,0.042,25,1200,0.021,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,74,7,175.0,3700.0,

Kills:,7
Deaths:,0
Fight Time:,47.958
Avg TTK:,0
Damage Done:,175.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,66.216217
Scenario:,Reflex Flick - Hard
Hash:,ab869e821fac336c103b8f85fae7f639
Game Version:,2.0.3.2
Challenge Start:,16:57:23.520

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,0.9
Vert Sens:,0.9
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,2560x1080
Avg FPS,298.987946
Resolution Scale,100.0
