Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,07:59:59.255,target,BB Gun,2.633s,4,1,0.25,1,4,0.25,false
2,08:00:00.412,400ms,BB Gun,0s,1,1,1,1,1,1,false
3,08:00:03.186,400ms,BB Gun,1.871s,3,1,0.333,1,3,0.333,false
4,08:00:06.006,400ms,BB Gun,1.917s,3,1,0.333,1,3,0.333,false
5,08:00:13.619,400ms,BB Gun,6.717s,8,1,0.125,1,8,0.125,false
6,08:00:19.282,400ms,BB Gun,4.692s,6,1,0.167,1,6,0.167,false
7,08:00:24.971,400ms,BB Gun,4.689s,4,1,0.25,1,4,0.25,false
8,08:00:35.362,400ms,BB Gun,6.628s,7,1,0.143,1,7,0.143,false
9,08:00:50.562,400ms,BB Gun,14.365s,15,1,0.067,1,15,0.067,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
BB Gun,55,9,9.0,55.0,

Kills:,9
Deaths:,0
Fight Time:,43.512001
Avg TTK:,0
Damage Done:,9.0
Damage Taken:,55.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,-46.0
Scenario:,Target Acquisition Flick
Hash:,36fd82246a97e259eb6ba920dac7760b
Game Version:,2.0.3.1
Challenge Start:,07:59:55.162

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,0.9
Vert Sens:,0.9
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,2560x1080
Avg FPS,299.737885
Resolution Scale,100.0
