Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,21:23:45.682,Thin very long strafe,Track Master 100,13.489s,1350,200,0.148,200,1350,0.148,false
2,21:24:03.554,Thin very long strafe,Track Master 100,17.621s,1474,200,0.136,200,1474,0.136,false
3,21:24:17.849,Thin very long strafe,Track Master 100,14.039s,1227,200,0.163,200,1227,0.163,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Track Master 100,5082,751,751.0,5082.0,

Kills:,3
Deaths:,0
Fight Time:,45.148998
Avg TTK:,20
Damage Done:,751.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,751.0
Scenario:,Thin Aiming Long
Hash:,3a5aabeed03bd10e4d437104ff1b425b
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Overwatch
Horiz Sens:,4.0
Vert Sens:,4.0
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
