Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,17:05:55.564,Thin very long strafe,Track Master 100,11.079s,1109,200,0.18,200,1109,0.18,false
2,17:06:07.294,Thin very long strafe,Track Master 100,11.479s,966,200,0.207,200,966,0.207,false
3,17:06:23.364,Thin very long strafe,Track Master 100,15.819s,1306,200,0.153,200,1306,0.153,false
4,17:06:37.067,Thin very long strafe,Track Master 100,13.45s,1144,200,0.175,200,1144,0.175,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Track Master 100,4970,890,890.0,4970.0,

Kills:,4
Deaths:,0
Fight Time:,51.827
Avg TTK:,15
Damage Done:,890.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,890.0
Scenario:,Thin Aiming Long
Hash:,3a5aabeed03bd10e4d437104ff1b425b
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,0.9
Vert Sens:,0.9
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
