Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,08:33:02.956,TileFrenzy Cube,LG,0.136s,4,4,1,24,24,1,false
2,08:33:03.243,TileFrenzy Cube,LG,0.136s,4,4,1,24,24,1,false
3,08:33:03.583,TileFrenzy Cube,LG,0.137s,4,4,1,24,24,1,false
4,08:33:03.923,TileFrenzy Cube,LG,0.136s,4,4,1,24,24,1,false
5,08:33:04.233,TileFrenzy Cube,LG,0.136s,4,4,1,24,24,1,false
6,08:33:04.596,TileFrenzy Cube,LG,0.136s,4,4,1,24,24,1,false
7,08:33:05.309,TileFrenzy Cube,LG,0.473s,9,4,0.444,24,54,0.444,false
8,08:33:05.662,TileFrenzy Cube,LG,0.136s,4,4,1,24,24,1,false
9,08:33:06.009,TileFrenzy Cube,LG,0.136s,4,4,1,24,24,1,false
10,08:33:06.442,TileFrenzy Cube,LG,0.137s,4,4,1,24,24,1,false
11,08:33:07.236,TileFrenzy Cube,LG,0.576s,7,7,1,42,42,1,false
12,08:33:07.470,TileFrenzy Cube,LG,0s,1,1,1,6,6,1,false
13,08:33:08.057,TileFrenzy Cube,LG,0.486s,7,4,0.571,24,42,0.571,false
14,08:33:08.380,TileFrenzy Cube,LG,0.136s,4,4,1,24,24,1,false
15,08:33:09.561,TileFrenzy Cube,LG,0.753s,11,4,0.364,24,66,0.364,false
16,08:33:09.897,TileFrenzy Cube,LG,0.136s,4,4,1,24,24,1,false
17,08:33:10.294,TileFrenzy Cube,LG,0.136s,4,4,1,24,24,1,false
18,08:33:10.684,TileFrenzy Cube,LG,0.136s,4,4,1,24,24,1,false
19,08:33:11.121,TileFrenzy Cube,LG,0.137s,4,4,1,24,24,1,false
20,08:33:11.501,TileFrenzy Cube,LG,0.137s,4,4,1,24,24,1,false
21,08:33:11.998,TileFrenzy Cube,LG,0.136s,4,4,1,24,24,1,false
22,08:33:12.435,TileFrenzy Cube,LG,0.136s,4,4,1,24,24,1,false
