Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,15:31:00.044,target,pistol mini,0s,1,1,1,25,50,0.5,false
2,15:31:00.334,target,pistol mini,0s,1,1,1,25,50,0.5,false
3,15:31:00.694,target,pistol mini,0s,1,1,1,25,50,0.5,false
4,15:31:00.998,target,pistol mini,0s,1,1,1,25,50,0.5,false
5,15:31:01.461,target,pistol mini,0s,1,1,1,25,50,0.5,false
6,15:31:01.746,target,pistol mini,0s,1,1,1,25,50,0.5,false
7,15:31:02.096,target,pistol mini,0s,1,1,1,25,50,0.5,false
8,15:31:02.376,target,pistol mini,0s,1,1,1,25,50,0.5,false
9,15:31:02.627,target,pistol mini,0s,1,1,1,25,50,0.5,false
10,15:31:03.205,target,pistol mini,0.345s,2,1,0.5,25,100,0.25,false
11,15:31:03.578,target,pistol mini,0s,1,1,1,25,50,0.5,false
12,15:31:03.835,target,pistol mini,0s,1,1,1,25,50,0.5,false
13,15:31:04.128,target,pistol mini,0s,1,1,1,25,50,0.5,false
14,15:31:04.441,target,pistol mini,0s,1,1,1,25,50,0.5,false
15,15:31:04.808,target,pistol mini,0s,1,1,1,25,50,0.5,false
16,15:31:05.114,target,pistol mini,0s,1,1,1,25,50,0.5,false
17,15:31:05.481,target,pistol mini,0s,1,1,1,25,50,0.5,false
18,15:31:05.784,target,pistol mini,0s,1,1,1,25,50,0.5,false
19,15:31:06.138,target,pistol mini,0.001s,1,1,1,25,50,0.5,false
20,15:31:06.454,target,pistol mini,0s,1,1,1,25,50,0.5,false
21,15:31:06.801,target,pistol mini,0s,1,1,1,25,50,0.5,false
22,15:31:07.045,target,pistol mini,0s,1,1,1,25,50,0.5,false
23,15:31:07.345,target,pistol mini,0s,1,1,1,25,50,0.5,false
24,15:31:07.639,target,pistol mini,0.001s,1,1,1,25,50,0.5,false
25,15:31:08.015,target,pistol mini,0s,1,1,1,25,50,0.5,false
26,15:31:08.348,target,pistol mini,0s,1,1,1,25,50,0.5,false
27,15:31:08.628,target,pistol mini,0s,1,1,1,25,50,0.5,false
28,15:31:08.955,target,pistol mini,0s,1,1,1,25,50,0.5,false
29,15:31:09.245,target,pistol mini,0s,1,1,1,25,50,0.5,false
30,15:31:09.652,target,pistol mini,0.001s,1,1,1,25,50,0.5,false
31,15:31:09.922,target,pistol mini,0.001s,1,1,1,25,50,0.5,false
32,15:31:10.242,target,pistol mini,0.001s,1,1,1,25,50,0.5,false
33,15:31:10.482,target,pistol mini,0s,1,1,1,25,50,0.5,false
34,15:31:10.805,target,pistol mini,0s,1,1,1,25,50,0.5,false
35,15:31:11.002,target,pistol mini,0s,1,1,1,25,50,0.5,false
36,15:31:11.298,target,pistol mini,0s,1,1,1,25,50,0.5,false
37,15:31:11.656,target,pistol mini,0s,1,1,1,25,50,0.5,false
38,15:31:12.358,target,pistol mini,0.349s,2,1,0.5,25,100,0.25,false
39,15:31:12.575,target,pistol mini,0s,1,1,1,25,50,0.5,false
40,15:31:12.923,target,pistol mini,0.001s,1,1,1,25,50,0.5,false
41,15:31:13.276,target,pistol mini,0s,1,1,1,25,50,0.5,false
42,15:31:13.602,target,pistol mini,0s,1,1,1,25,50,0.5,false
43,15:31:14.289,target,pistol mini,0.283s,2,1,0.5,25,100,0.25,false
44,15:31:14.609,target,pistol mini,0s,1,1,1,25,50,0.5,false
45,15:31:15.029,target,pistol mini,0s,1,1,1,25,50,0.5,false
46,15:31:15.329,target,pistol mini,0s,1,1,1,25,50,0.5,false
47,15:31:15.609,target,pistol mini,0s,1,1,1,25,50,0.5,false
48,15:31:15.922,target,pistol mini,0s,1,1,1,25,50,0.5,false
49,15:31:16.193,target,pistol mini,0s,1,1,1,25,50,0.5,false
50,15:31:16.619,target,pistol mini,0s,1,1,1,25,50,0.5,false
51,15:31:17.049,target,pistol mini,0s,1,1,1,25,50,0.5,false
52,15:31:17.859,target,pistol mini,0.516s,2,1,0.5,25,100,0.25,false
53,15:31:18.159,target,pistol mini,0s,1,1,1,25,50,0.5,false
54,15:31:18.466,target,pistol mini,0s,1,1,1,25,50,0.5,false
55,15:31:18.703,target,pistol mini,0s,1,1,1,25,50,0.5,false
56,15:31:19.060,target,pistol mini,0s,1,1,1,25,50,0.5,false
57,15:31:19.390,target,pistol mini,0s,1,1,1,25,50,0.5,false
58,15:31:19.627,target,pistol mini,0s,1,1,1,25,50,0.5,false
59,15:31:19.915,target,pistol mini,0s,1,1,1,25,50,0.5,false
60,15:31:20.185,target,pistol mini,0s,1,1,1,25,50,0.5,false
61,15:31:20.509,target,pistol mini,0s,1,1,1,25,50,0.5,false
62,15:31:20.776,target,pistol mini,0s,1,1,1,25,50,0.5,false
63,15:31:21.099,target,pistol mini,0s,1,1,1,25,50,0.5,false
64,15:31:21.375,target,pistol mini,0s,1,1,1,25,50,0.5,false
65,15:31:21.599,target,pistol mini,0s,1,1,1,25,50,0.5,false
66,15:31:22.206,target,pistol mini,0s,1,1,1,25,50,0.5,false
67,15:31:22.926,target,pistol mini,0.474s,2,1,0.5,25,100,0.25,false
68,15:31:23.136,target,pistol mini,0s,1,1,1,25,50,0.5,false
69,15:31:23.499,target,pistol mini,0s,1,1,1,25,50,0.5,false
70,15:31:23.816,target,pistol mini,0.001s,1,1,1,25,50,0.5,false
71,15:31:24.042,target,pistol mini,0s,1,1,1,25,50,0.5,false
72,15:31:24.372,target,pistol mini,0s,1,1,1,25,50,0.5,false
73,15:31:24.619,target,pistol mini,0s,1,1,1,25,50,0.5,false
74,15:31:24.953,target,pistol mini,0s,1,1,1,25,50,0.5,false
75,15:31:25.223,target,pistol mini,0s,1,1,1,25,50,0.5,false
