Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,16:45:34.020,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
2,16:45:35.362,Shinji small Bot,pistol,0.829s,2,1,0.5,2000,4000,0.5,false
3,16:45:35.963,Shinji Bot,pistol,0.001s,1,1,1,2000,2000,1,false
4,16:45:37.071,Shinji small Bot,pistol,0.001s,1,1,1,2000,2000,1,false
5,16:45:38.137,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
6,16:45:38.616,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
7,16:45:39.294,Shinji small Bot,pistol,0.001s,1,1,1,2000,2000,1,false
8,16:45:39.761,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
9,16:45:40.330,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
10,16:45:40.858,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
11,16:45:41.430,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
12,16:45:42.118,Shinji Bot,pistol,0.001s,1,1,1,2000,2000,1,false
13,16:45:42.552,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
14,16:45:43.267,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
15,16:45:43.843,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
16,16:45:44.877,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
17,16:45:45.437,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
18,16:45:45.749,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
19,16:45:46.382,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
20,16:45:46.840,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
21,16:45:47.560,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
22,16:45:48.416,Shinji Bot,pistol,0.428s,2,1,0.5,2000,4000,0.5,false
23,16:45:48.657,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
24,16:45:49.571,Shinji Bot,pistol,0.001s,1,1,1,2000,2000,1,false
25,16:45:50.115,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
26,16:45:50.737,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
27,16:45:51.629,Shinji small Bot,pistol,0.001s,1,1,1,2000,2000,1,false
28,16:45:52.244,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
29,16:45:52.747,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
30,16:45:53.431,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
31,16:45:53.777,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
32,16:45:54.119,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
33,16:45:54.894,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
34,16:45:55.435,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
35,16:45:56.741,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
36,16:45:57.443,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
37,16:45:58.228,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
38,16:45:59.046,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
39,16:45:59.430,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
40,16:46:00.126,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
41,16:46:00.789,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
42,16:46:01.314,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
43,16:46:02.178,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
44,16:46:02.788,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
45,16:46:03.633,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
46,16:46:04.242,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
47,16:46:04.994,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
48,16:46:05.546,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
49,16:46:06.559,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
50,16:46:07.651,Shinji Bot,pistol,0.467s,2,1,0.5,2000,4000,0.5,false
51,16:46:08.151,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
52,16:46:08.603,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
53,16:46:09.211,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
54,16:46:10.038,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
55,16:46:10.239,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
56,16:46:11.047,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
57,16:46:12.538,Shinji small Bot,pistol,0.632s,2,1,0.5,2000,4000,0.5,false
58,16:46:13.743,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
59,16:46:14.911,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
60,16:46:15.382,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
61,16:46:16.004,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
62,16:46:17.306,Shinji Bot,pistol,0.571s,2,1,0.5,2000,4000,0.5,false
63,16:46:17.833,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
64,16:46:18.941,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
65,16:46:19.675,Shinji small Bot,pistol,0.001s,1,1,1,2000,2000,1,false
66,16:46:20.176,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
67,16:46:21.966,Shinji small Bot,pistol,0.997s,2,1,0.5,2000,4000,0.5,false
68,16:46:22.769,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
69,16:46:23.464,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
70,16:46:24.302,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
71,16:46:25.245,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
72,16:46:26.170,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
73,16:46:26.976,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
74,16:46:27.677,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
75,16:46:29.382,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
76,16:46:30.916,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
77,16:46:32.157,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,83,77,154000.0,166000.0,

Kills:,77
Deaths:,0
Fight Time:,3.931
Avg TTK:,0.779
Damage Done:,154000.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,71.433731
Scenario:,Valorant Small Flicks
Hash:,551c4ed108bfdec58c6247683110c85b
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
