Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,08:39:54.053,air1_far_long,Track Master 100,18.779s,1879,1000,0.532,1000,1879,0.532,false
2,08:40:14.875,air1_far_long,Track Master 100,20.571s,1891,1000,0.529,1000,1891,0.529,false
3,08:40:33.724,air1_far_long,Track Master 100,18.594s,1700,1000,0.588,1000,1700,0.588,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Track Master 100,5478,3000,3000.0,5478.0,

Kills:,3
Deaths:,0
Fight Time:,57.944
Avg TTK:,0
Damage Done:,3000.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,3000.0
Scenario:,air far long strafes
Hash:,31ba721a596c28b3bd5189ecba06fb64
Game Version:,2.0.3.1
Challenge Start:,08:39:34.391

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,0.9
Vert Sens:,0.9
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,2560x1080
Avg FPS,299.612396
Resolution Scale,100.0
