Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,15:23:10.149,MovingTarget,Six Shooter,3.883s,4,2,0.5,140,560,0.25,false
2,15:23:14.515,MovingTarget,Six Shooter,3.371s,4,2,0.5,140,560,0.25,false
3,15:23:18.230,MovingTarget,Six Shooter,2.177s,4,3,0.75,210,560,0.375,false
4,15:23:19.261,MovingTarget,Six Shooter,0s,1,1,1,70,140,0.5,false
5,15:23:21.931,MovingTarget,Six Shooter,1.296s,3,2,0.667,140,420,0.333,false
6,15:23:24.289,MovingTarget,Six Shooter,1.035s,2,2,1,140,280,0.5,false
7,15:23:25.524,MovingTarget,Six Shooter,0.583s,2,2,1,140,280,0.5,false
8,15:23:26.887,MovingTarget,Six Shooter,0.497s,2,2,1,140,280,0.5,false
9,15:23:28.674,MovingTarget,Six Shooter,1.081s,3,2,0.667,140,420,0.333,false
10,15:23:30.551,MovingTarget,Six Shooter,1.124s,3,2,0.667,140,420,0.333,false
11,15:23:34.087,MovingTarget,Six Shooter,2.845s,5,3,0.6,210,700,0.3,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Six Shooter,33,23,1610.0,4620.0,

Kills:,11
Deaths:,0
Fight Time:,17.892
Avg TTK:,2.727
Damage Done:,1610.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,391.042236
Scenario:,mccoyfrozentrack
Hash:,bdeef293820a694ba85cadbd4e8c0caf
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,1.2
Vert Sens:,1.2
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
