Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,17:32:57.055,MovingTarget,Six Shooter,2.373s,3,2,0.667,140,420,0.333,false
2,17:32:58.526,MovingTarget,Six Shooter,0.526s,2,2,1,140,280,0.5,false
3,17:33:01.682,MovingTarget,Six Shooter,2.16s,3,2,0.667,210,420,0.5,false
4,17:33:02.932,MovingTarget,Six Shooter,0.497s,2,1,0.5,140,280,0.5,false
5,17:33:04.964,MovingTarget,Six Shooter,0.914s,2,2,1,140,280,0.5,false
6,17:33:07.879,MovingTarget,Six Shooter,2.238s,4,2,0.5,140,560,0.25,false
7,17:33:10.347,MovingTarget,Six Shooter,1.664s,3,2,0.667,140,420,0.333,false
8,17:33:12.034,MovingTarget,Six Shooter,0.997s,3,2,0.667,140,420,0.333,false
9,17:33:13.618,MovingTarget,Six Shooter,0.647s,2,2,1,140,280,0.5,false
10,17:33:15.491,MovingTarget,Six Shooter,0.57s,2,2,1,140,280,0.5,false
11,17:33:16.591,MovingTarget,Six Shooter,0.497s,2,2,1,140,280,0.5,false
12,17:33:19.154,MovingTarget,Six Shooter,1.372s,3,2,0.667,140,420,0.333,false
13,17:33:21.354,MovingTarget,Six Shooter,1.226s,3,2,0.667,139.978,420,0.333,false
14,17:33:22.801,MovingTarget,Six Shooter,0.606s,2,2,1,140,280,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Six Shooter,36,27,2029.977783,5040.0,

Kills:,14
Deaths:,0
Fight Time:,16.287001
Avg TTK:,2.143
Damage Done:,2029.977783
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,613.215759
Scenario:,mccoyfrozentrack
Hash:,bdeef293820a694ba85cadbd4e8c0caf
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
