Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,07:44:55.072,MovingTarget,Six Shooter,3.13s,4,2,0.5,140,560,0.25,false
2,07:45:00.648,MovingTarget,Six Shooter,4.552s,5,2,0.4,140,700,0.2,false
3,07:45:04.015,MovingTarget,Six Shooter,2.556s,3,2,0.667,140,420,0.333,false
4,07:45:05.555,MovingTarget,Six Shooter,0.677s,2,2,1,140,280,0.5,false
5,07:45:08.039,MovingTarget,Six Shooter,1.144s,2,2,1,140,280,0.5,false
6,07:45:09.536,MovingTarget,Six Shooter,0.54s,2,2,1,140,280,0.5,false
7,07:45:12.565,MovingTarget,Six Shooter,1.987s,3,1,0.333,140,420,0.333,false
8,07:45:15.135,MovingTarget,Six Shooter,1.38s,3,2,0.667,140,420,0.333,false
9,07:45:17.423,MovingTarget,Six Shooter,0.56s,2,2,1,140,280,0.5,false
10,07:45:18.619,MovingTarget,Six Shooter,0.497s,2,2,1,140,280,0.5,false
11,07:45:19.632,MovingTarget,Six Shooter,0.496s,2,2,1,140,280,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Six Shooter,31,21,1540.0,4340.0,

Kills:,11
Deaths:,0
Fight Time:,17.519001
Avg TTK:,0
Damage Done:,1540.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,370.17691
Scenario:,mccoyfrozentrack
Hash:,bdeef293820a694ba85cadbd4e8c0caf
Game Version:,2.0.3.1
Challenge Start:,07:44:50.713

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,0.9
Vert Sens:,0.9
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,2560x1080
Avg FPS,299.626678
Resolution Scale,100.0
