Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,07:46:03.945,MovingTarget,Six Shooter,0.496s,2,2,1,140,280,0.5,false
2,07:46:06.615,MovingTarget,Six Shooter,1.619s,3,2,0.667,140,420,0.333,false
3,07:46:08.532,MovingTarget,Six Shooter,0.673s,2,2,1,140,280,0.5,false
4,07:46:10.109,MovingTarget,Six Shooter,0.673s,2,2,1,140,280,0.5,false
5,07:46:12.513,MovingTarget,Six Shooter,0.496s,2,2,1,140,280,0.5,false
6,07:46:13.960,MovingTarget,Six Shooter,0.497s,2,2,1,140,280,0.5,false
7,07:46:19.465,MovingTarget,Six Shooter,4.572s,5,3,0.6,210,700,0.3,false
8,07:46:23.282,MovingTarget,Six Shooter,3.061s,4,3,0.75,210,560,0.375,false
9,07:46:25.203,MovingTarget,Six Shooter,0.773s,2,2,1,140,280,0.5,false
10,07:46:26.090,MovingTarget,Six Shooter,0s,1,1,1,70,140,0.5,false
11,07:46:27.484,MovingTarget,Six Shooter,0s,1,1,1,70,140,0.5,false
12,07:46:28.877,MovingTarget,Six Shooter,0.496s,2,2,1,140,280,0.5,false
13,07:46:30.209,MovingTarget,Six Shooter,0.496s,2,2,1,140,280,0.5,false
14,07:46:32.192,MovingTarget,Six Shooter,0.526s,2,2,1,140,280,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Six Shooter,32,28,1960.0,4480.0,

Kills:,14
Deaths:,0
Fight Time:,14.378
Avg TTK:,0
Damage Done:,1960.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,750.3125
Scenario:,mccoyfrozentrack
Hash:,bdeef293820a694ba85cadbd4e8c0caf
Game Version:,2.0.3.1
Challenge Start:,07:46:02.475

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,0.9
Vert Sens:,0.9
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,2560x1080
Avg FPS,299.746948
Resolution Scale,100.0
