Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,07:47:29.631,MovingTarget,Six Shooter,2.4s,3,1,0.333,140,420,0.333,false
2,07:47:31.999,MovingTarget,Six Shooter,0.67s,2,2,1,140,280,0.5,false
3,07:47:33.125,MovingTarget,Six Shooter,0s,1,1,1,140,140,1,false
4,07:47:35.339,MovingTarget,Six Shooter,0.874s,2,1,0.5,140,280,0.5,false
5,07:47:36.906,MovingTarget,Six Shooter,0s,1,1,1,140,140,1,false
6,07:47:39.854,MovingTarget,Six Shooter,1.294s,2,1,0.5,140,280,0.5,false
7,07:47:40.948,MovingTarget,Six Shooter,0s,1,1,1,140,140,1,false
8,07:47:42.418,MovingTarget,Six Shooter,0s,1,1,1,140,140,1,false
9,07:47:43.455,MovingTarget,Six Shooter,0s,1,1,1,140,140,1,false
10,07:47:44.945,MovingTarget,Six Shooter,0.001s,1,1,1,140,140,1,false
11,07:47:47.046,MovingTarget,Six Shooter,0.724s,2,2,1,140,280,0.5,false
12,07:47:49.161,MovingTarget,Six Shooter,1.205s,3,2,0.667,140,420,0.333,false
13,07:47:52.244,MovingTarget,Six Shooter,2.487s,3,2,0.667,140,420,0.333,false
14,07:47:53.667,MovingTarget,Six Shooter,0.624s,2,2,1,140,280,0.5,false
15,07:47:54.581,MovingTarget,Six Shooter,0s,1,1,1,140,140,1,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Six Shooter,26,20,2100.0,3640.0,

Kills:,15
Deaths:,0
Fight Time:,10.279
Avg TTK:,0
Damage Done:,2100.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,931.952698
Scenario:,mccoyfrozentrack
Hash:,bdeef293820a694ba85cadbd4e8c0caf
Game Version:,2.0.3.1
Challenge Start:,07:47:26.182

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,0.9
Vert Sens:,0.9
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,2560x1080
Avg FPS,299.622864
Resolution Scale,100.0
