Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,08:13:57.292,test,pistol,3.697s,3,1,0.333,1000,6000,0.167,false
2,08:14:05.091,test,pistol,6.928s,5,1,0.2,1000,10000,0.1,false
3,08:14:16.299,test,pistol,10.354s,10,1,0.1,1000,20000,0.05,false
4,08:14:20.267,test,pistol,3.259s,5,1,0.2,1000,10000,0.1,false
5,08:14:22.187,test,pistol,0.894s,2,1,0.5,1000,4000,0.25,false
6,08:14:23.021,test,pistol,0s,1,1,1,1000,2000,0.5,false
7,08:14:25.226,test,pistol,1.236s,2,1,0.5,1000,4000,0.25,false
8,08:14:26.023,test,pistol,0s,1,1,1,1000,2000,0.5,false
9,08:14:29.417,test,pistol,2.784s,4,1,0.25,1000,8000,0.125,false
10,08:14:38.514,test,pistol,7.743s,8,1,0.125,1000,16000,0.062,false
11,08:14:41.828,test,pistol,1.752s,3,1,0.333,1000,6000,0.167,false
12,08:14:46.552,test,pistol,3.801s,3,1,0.333,1000,6000,0.167,false
13,08:14:47.281,test,pistol,0s,1,1,1,1000,2000,0.5,false
14,08:14:48.932,test,pistol,0s,1,1,1,1000,2000,0.5,false
15,08:14:53.506,test,pistol,4.14s,5,1,0.2,1000,10000,0.1,false
16,08:14:57.953,test,pistol,2.986s,4,1,0.25,1000,8000,0.125,false
17,08:15:09.755,test,pistol,9.863s,9,1,0.111,1000,18000,0.056,false
18,08:15:11.719,test,pistol,0s,1,1,1,1000,2000,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,72,18,18000.0,144000.0,

Kills:,18
Deaths:,0
Fight Time:,59.437
Avg TTK:,0
Damage Done:,18000.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,18.0
Scenario:,pasu small reload
Hash:,a37d2ba4f3f33d59ae7018e37445a5e9
Game Version:,2.0.3.1
Challenge Start:,08:13:51.924

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,0.9
Vert Sens:,0.9
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,2560x1080
Avg FPS,424.75882
Resolution Scale,100.0
