Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,08:03:42.260,Quaker Bot Long Strafes,MG,0.427s,70,70,1,70,140,0.5,false
2,08:03:43.190,Quaker Bot Long Strafes,MG,0.277s,50,40,0.8,80,100,0.8,false
3,08:03:44.013,Quaker Bot Long Strafes,MG,0.207s,40,40,1,70,80,0.875,false
4,08:03:45.050,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
5,08:03:46.087,Quaker Bot Long Strafes,MG,0.277s,50,40,0.8,80,100,0.8,false
6,08:03:47.340,Quaker Bot Long Strafes,MG,0.347s,60,40,0.667,70,120,0.583,false
7,08:03:48.458,Quaker Bot Long Strafes,MG,0.277s,50,40,0.8,80,100,0.8,false
8,08:03:49.668,Quaker Bot Long Strafes,MG,0.206s,40,40,1,80,80,1,false
9,08:03:50.524,Quaker Bot Long Strafes,MG,0.21s,40,40,1,80,80,1,false
10,08:03:51.574,Quaker Bot Long Strafes,MG,0.417s,70,40,0.571,80,140,0.571,false
11,08:03:52.519,Quaker Bot Long Strafes,MG,0.277s,50,50,1,80,100,0.8,false
12,08:03:53.589,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
13,08:03:54.865,Quaker Bot Long Strafes,MG,0.347s,60,40,0.667,80,120,0.667,false
14,08:03:56.007,Quaker Bot Long Strafes,MG,0.209s,40,40,1,80,80,1,false
15,08:03:56.624,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
16,08:03:57.495,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
17,08:03:58.459,Quaker Bot Long Strafes,MG,0.417s,70,50,0.714,70,140,0.5,false
18,08:03:59.529,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
19,08:04:00.606,Quaker Bot Long Strafes,MG,0.346s,60,40,0.667,80,120,0.667,false
20,08:04:01.780,Quaker Bot Long Strafes,MG,0.557s,90,40,0.444,80,180,0.444,false
21,08:04:02.840,Quaker Bot Long Strafes,MG,0.277s,50,40,0.8,80,100,0.8,false
22,08:04:03.303,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
23,08:04:04.240,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
24,08:04:05.336,Quaker Bot Long Strafes,MG,0.207s,40,40,1,70,80,0.875,false
25,08:04:06.235,Quaker Bot Long Strafes,MG,0.277s,50,40,0.8,80,100,0.8,false
26,08:04:07.106,Quaker Bot Long Strafes,MG,0.277s,50,40,0.8,80,100,0.8,false
27,08:04:08.399,Quaker Bot Long Strafes,MG,0.554s,60,40,0.667,80,120,0.667,false
28,08:04:09.530,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
29,08:04:10.541,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
30,08:04:12.107,Quaker Bot Long Strafes,MG,0.891s,100,40,0.4,80,200,0.4,false
31,08:04:13.311,Quaker Bot Long Strafes,MG,0.486s,80,40,0.5,80,160,0.5,false
32,08:04:14.283,Quaker Bot Long Strafes,MG,0.206s,40,40,1,80,80,1,false
33,08:04:15.249,Quaker Bot Long Strafes,MG,0.206s,40,40,1,80,80,1,false
34,08:04:16.432,Quaker Bot Long Strafes,MG,0.674s,90,40,0.444,80,180,0.444,false
35,08:04:18.083,Quaker Bot Long Strafes,MG,0.347s,60,60,1,80,120,0.667,false
36,08:04:18.963,Quaker Bot Long Strafes,MG,0.206s,40,40,1,80,80,1,false
37,08:04:19.804,Quaker Bot Long Strafes,MG,0.208s,40,40,1,80,80,1,false
38,08:04:20.799,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
39,08:04:21.636,Quaker Bot Long Strafes,MG,0.278s,50,40,0.8,80,100,0.8,false
40,08:04:22.473,Quaker Bot Long Strafes,MG,0.208s,40,40,1,80,80,1,false
41,08:04:23.427,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
42,08:04:24.200,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
43,08:04:25.490,Quaker Bot Long Strafes,MG,0.347s,60,40,0.667,80,120,0.667,false
44,08:04:26.503,Quaker Bot Long Strafes,MG,0.206s,40,40,1,80,80,1,false
45,08:04:27.721,Quaker Bot Long Strafes,MG,0.277s,50,50,1,100,100,1,false
46,08:04:28.181,Quaker Bot Long Strafes,MG,0.137s,30,30,1,60,60,1,false
47,08:04:29.360,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
48,08:04:30.488,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
49,08:04:31.392,Quaker Bot Long Strafes,MG,0.277s,50,40,0.8,80,100,0.8,false
50,08:04:32.782,Quaker Bot Long Strafes,MG,0.647s,60,40,0.667,80,120,0.667,false
51,08:04:34.224,Quaker Bot Long Strafes,MG,0.559s,90,40,0.444,80,180,0.444,false
