Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:23:35.078,Quaker Bot Long Strafes,MG,0.277s,50,50,1,70,100,0.7,false
2,19:23:36.154,Quaker Bot Long Strafes,MG,0.486s,80,40,0.5,80,160,0.5,false
3,19:23:36.814,Quaker Bot Long Strafes,MG,0.277s,50,50,1,70,100,0.7,false
4,19:23:37.754,Quaker Bot Long Strafes,MG,0.347s,60,40,0.667,80,120,0.667,false
5,19:23:38.551,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
6,19:23:39.988,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
7,19:23:40.561,Quaker Bot Long Strafes,MG,0.206s,40,40,1,80,80,1,false
8,19:23:41.354,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
9,19:23:42.654,Quaker Bot Long Strafes,MG,0.87s,70,70,1,70,140,0.5,false
10,19:23:43.745,Quaker Bot Long Strafes,MG,0.276s,50,40,0.8,80,100,0.8,false
11,19:23:44.385,Quaker Bot Long Strafes,MG,0.206s,40,40,1,80,80,1,false
12,19:23:46.059,Quaker Bot Long Strafes,MG,0.993s,60,40,0.667,80,120,0.667,false
13,19:23:46.838,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
14,19:23:47.623,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
15,19:23:48.643,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
16,19:23:49.273,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
17,19:23:50.089,Quaker Bot Long Strafes,MG,0.206s,40,40,1,80,80,1,false
18,19:23:50.852,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
19,19:23:51.569,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
20,19:23:52.480,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
21,19:23:53.160,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
22,19:23:53.960,Quaker Bot Long Strafes,MG,0.347s,60,40,0.667,80,120,0.667,false
23,19:23:54.886,Quaker Bot Long Strafes,MG,0.487s,80,40,0.5,70,160,0.438,false
24,19:23:55.549,Quaker Bot Long Strafes,MG,0.277s,50,40,0.8,80,100,0.8,false
25,19:23:56.790,Quaker Bot Long Strafes,MG,0.557s,90,50,0.556,90,180,0.5,false
26,19:23:57.300,Quaker Bot Long Strafes,MG,0.206s,40,30,0.75,60,80,0.75,false
27,19:23:57.856,Quaker Bot Long Strafes,MG,0.206s,40,40,1,80,80,1,false
28,19:23:58.884,Quaker Bot Long Strafes,MG,0.206s,40,40,1,80,80,1,false
29,19:24:00.150,Quaker Bot Long Strafes,MG,0.277s,50,50,1,80,100,0.8,false
30,19:24:01.987,Quaker Bot Long Strafes,MG,0.971s,100,40,0.4,80,200,0.4,false
31,19:24:02.760,Quaker Bot Long Strafes,MG,0.276s,50,40,0.8,80,100,0.8,false
32,19:24:03.560,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
33,19:24:04.437,Quaker Bot Long Strafes,MG,0.347s,60,40,0.667,80,120,0.667,false
34,19:24:05.294,Quaker Bot Long Strafes,MG,0.206s,40,40,1,80,80,1,false
35,19:24:06.144,Quaker Bot Long Strafes,MG,0.206s,40,40,1,80,80,1,false
