Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,08:12:14.014,Quaker Bot Long Strafes,LG,0.346s,36,20,0.556,100,180,0.556,false
2,08:12:15.037,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
3,08:12:15.575,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
4,08:12:16.797,Quaker Bot Long Strafes,LG,0.189s,20,20,1,100,100,1,false
5,08:12:17.670,Quaker Bot Long Strafes,LG,0.186s,20,20,1,100,100,1,false
6,08:12:18.564,Quaker Bot Long Strafes,LG,0.186s,20,20,1,100,100,1,false
7,08:12:19.469,Quaker Bot Long Strafes,LG,0.186s,20,20,1,100,100,1,false
8,08:12:21.060,Quaker Bot Long Strafes,LG,0.999s,37,20,0.541,100,185,0.541,false
9,08:12:21.837,Quaker Bot Long Strafes,LG,0.186s,20,20,1,100,100,1,false
10,08:12:23.550,Quaker Bot Long Strafes,LG,0.857s,52,20,0.385,100,260,0.385,false
11,08:12:24.868,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
12,08:12:25.643,Quaker Bot Long Strafes,LG,0.258s,27,20,0.741,100,135,0.741,false
13,08:12:26.988,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
14,08:12:27.825,Quaker Bot Long Strafes,LG,0.186s,20,20,1,100,100,1,false
15,08:12:28.839,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
16,08:12:29.496,Quaker Bot Long Strafes,LG,0.186s,20,20,1,100,100,1,false
17,08:12:30.342,Quaker Bot Long Strafes,LG,0.186s,20,20,1,100,100,1,false
18,08:12:31.012,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
19,08:12:31.885,Quaker Bot Long Strafes,LG,0.186s,20,20,1,100,100,1,false
20,08:12:33.712,Quaker Bot Long Strafes,LG,0.776s,55,20,0.364,100,275,0.364,false
21,08:12:34.699,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
22,08:12:35.712,Quaker Bot Long Strafes,LG,0.186s,20,20,1,100,100,1,false
23,08:12:37.363,Quaker Bot Long Strafes,LG,0.88s,35,20,0.571,100,175,0.571,false
24,08:12:38.471,Quaker Bot Long Strafes,LG,0.248s,26,20,0.769,100,130,0.769,false
25,08:12:39.855,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
26,08:12:40.435,Quaker Bot Long Strafes,LG,0.38s,20,20,1,100,100,1,false
27,08:12:41.658,Quaker Bot Long Strafes,LG,0.673s,30,20,0.667,100,150,0.667,false
28,08:12:42.502,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
29,08:12:43.419,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
30,08:12:44.411,Quaker Bot Long Strafes,LG,0.186s,20,20,1,100,100,1,false
31,08:12:45.388,Quaker Bot Long Strafes,LG,0.186s,20,20,1,100,100,1,false
32,08:12:46.763,Quaker Bot Long Strafes,LG,0.58s,36,20,0.556,100,180,0.556,false
33,08:12:47.806,Quaker Bot Long Strafes,LG,0.186s,20,20,1,100,100,1,false
34,08:12:48.818,Quaker Bot Long Strafes,LG,0.186s,20,20,1,100,100,1,false
35,08:12:49.882,Quaker Bot Long Strafes,LG,0.256s,27,20,0.741,100,135,0.741,false
36,08:12:50.738,Quaker Bot Long Strafes,LG,0.337s,35,20,0.571,100,175,0.571,false
37,08:12:51.563,Quaker Bot Long Strafes,LG,0.227s,24,20,0.833,100,120,0.833,false
38,08:12:52.342,Quaker Bot Long Strafes,LG,0.186s,20,20,1,100,100,1,false
39,08:12:53.436,Quaker Bot Long Strafes,LG,0.186s,20,20,1,100,100,1,false
40,08:12:54.235,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
41,08:12:55.325,Quaker Bot Long Strafes,LG,0.297s,31,20,0.645,100,155,0.645,false
42,08:12:56.413,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
43,08:12:57.106,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
44,08:12:58.048,Quaker Bot Long Strafes,LG,0.197s,21,20,0.952,100,105,0.952,false
45,08:12:59.238,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
46,08:13:01.102,Quaker Bot Long Strafes,LG,1.338s,87,36,0.414,180,435,0.414,false
47,08:13:01.465,Quaker Bot Long Strafes,LG,0.027s,4,4,1,20,20,1,false
48,08:13:02.445,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
49,08:13:03.625,Quaker Bot Long Strafes,LG,0.186s,20,20,1,100,100,1,false
50,08:13:04.879,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
51,08:13:05.859,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
52,08:13:07.162,Quaker Bot Long Strafes,LG,0.317s,33,20,0.606,100,165,0.606,false
53,08:13:08.300,Quaker Bot Long Strafes,LG,0.186s,20,20,1,100,100,1,false
54,08:13:09.442,Quaker Bot Long Strafes,LG,0.186s,20,20,1,100,100,1,false
55,08:13:10.162,Quaker Bot Long Strafes,LG,0.186s,20,20,1,100,100,1,false
56,08:13:10.842,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
57,08:13:11.649,Quaker Bot Long Strafes,LG,0.267s,28,20,0.714,100,140,0.714,false
58,08:13:12.372,Quaker Bot Long Strafes,LG,0.186s,20,20,1,100,100,1,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1424,1160,5800.0,7120.0,

Kills:,58
Deaths:,0
Fight Time:,16.535
Avg TTK:,0
Damage Done:,5800.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,58.0
Scenario:,voxTargetSwitch
Hash:,0726d639df23bb87e88e374b5038d834
Game Version:,2.0.3.1
Challenge Start:,08:12:12.809

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,0.9
Vert Sens:,0.9
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,2560x1080
Avg FPS,298.199463
Resolution Scale,100.0
